epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_perplexity,val_code_usage_pct,val_code_perplexity
18,2.010580,2.010580,0.3539,0.6983,0.3444,0.4613,0.0000,1.745767,1.745767,0.3930,0.4833,0.3537,0.4085,0.0000,-0.2648,4.0e-03,359.0,5.048573,5.038228,1.034575e-02,4.678728,4.666452,1.227665e-02,-0.3698,9.999999e-01,1.444710e-01,9.9e-04,100.00,491.41,100.00,472.22
19,1.978911,1.978911,0.3569,0.7067,0.3663,0.4825,0.0000,1.761512,1.761512,0.3860,0.4049,0.4878,0.4425,0.0000,-0.2174,4.0e-03,358.9,4.716215,4.706210,1.000553e-02,4.380142,4.370319,9.823084e-03,-0.3361,9.999999e-01,1.726792e-01,9.9e-04,100.00,489.77,100.00,477.74
20,1.958055,1.958055,0.3592,0.7110,0.3809,0.4961,0.0000,1.730624,1.730624,0.3929,0.5522,0.2707,0.3633,0.0000,-0.2274,3.9e-03,358.9,4.485474,4.475609,9.864391e-03,4.206532,4.191285,1.524719e-02,-0.2789,9.999999e-01,1.933886e-01,9.9e-04,100.00,487.10,100.00,416.12
21,1.937212,1.937212,0.3622,0.7245,0.3964,0.5125,0.0000,1.691493,1.691493,0.4045,0.5428,0.4488,0.4913,0.0000,-0.2457,3.9e-03,358.5,4.343523,4.332844,1.067912e-02,4.081647,4.069288,1.235815e-02,-0.2619,9.999999e-01,2.044030e-01,9.8e-04,100.00,478.69,100.00,437.04
22,1.916204,1.916204,0.3668,0.7380,0.4180,0.5337,0.0000,1.721623,1.721623,0.3968,0.5446,0.4171,0.4724,0.0000,-0.1946,3.9e-03,359.5,4.254331,4.242778,1.155266e-02,4.241722,4.228438,1.328302e-02,-0.0126,9.999999e-01,1.983973e-01,9.8e-04,100.00,474.37,100.00,448.39
23,1.912214,1.912214,0.3686,0.7426,0.4328,0.5468,0.0000,1.729850,1.729850,0.3975,0.5280,0.4366,0.4780,0.0000,-0.1824,3.9e-03,361.3,4.214568,4.203495,1.107311e-02,4.273763,4.260082,1.368082e-02,0.0592,9.999999e-01,2.044883e-01,9.8e-04,100.00,483.43,100.00,454.18
24,1.901651,1.901651,0.3707,0.7555,0.4561,0.5688,0.0000,1.752553,1.752553,0.3903,0.4419,0.6024,0.5098,0.0000,-0.1491,3.9e-03,360.4,4.190682,4.179543,1.113956e-02,4.201274,4.189766,1.150776e-02,0.0106,9.999999e-01,2.121877e-01,9.8e-04,100.00,487.06,100.00,500.22
25,1.871926,1.871926,0.3761,0.7515,0.4805,0.5862,0.0000,1.662017,1.662017,0.4088,0.4777,0.5756,0.5221,0.0000,-0.2099,3.9e-03,361.9,4.181967,4.170556,1.141147e-02,4.115678,4.101208,1.447067e-02,-0.0663,9.999999e-01,1.833098e-01,9.8e-04,100.00,489.19,100.00,460.76
26,1.833146,1.833146,0.3826,0.7663,0.4937,0.6005,0.0000,1.612224,1.612224,0.4213,0.4288,0.6976,0.5311,0.0000,-0.2209,3.9e-03,361.2,4.180086,4.168256,1.182965e-02,4.046197,4.031333,1.486375e-02,-0.1339,9.999999e-01,1.664061e-01,9.7e-04,100.00,489.13,100.00,426.28
27,1.823338,1.823338,0.3842,0.7591,0.5141,0.6130,0.0000,1.643263,1.643263,0.4127,0.3575,0.8171,0.4974,0.0000,-0.1801,3.9e-03,359.5,4.199062,4.186890,1.217285e-02,4.150382,4.138473,1.190872e-02,-0.0487,9.999999e-01,1.701095e-01,9.7e-04,100.00,490.13,100.00,488.25
28,1.800134,1.800134,0.3875,0.7738,0.5414,0.6370,0.0000,1.640472,1.640472,0.4113,0.5626,0.5805,0.5714,0.0000,-0.1597,3.9e-03,359.8,4.175765,4.163822,1.194307e-02,4.002941,3.992073,1.086754e-02,-0.1728,9.999999e-01,1.618988e-01,9.7e-04,100.00,495.81,100.00,491.50
29,1.778741,1.778741,0.3901,0.7827,0.5528,0.6480,0.0000,1.556251,1.556251,0.4260,0.4906,0.6976,0.5760,0.0000,-0.2225,3.9e-03,359.0,4.148835,4.136915,1.191996e-02,3.858397,3.844808,1.358929e-02,-0.2904,9.999999e-01,1.425184e-01,9.6e-04,100.00,500.53,100.00,446.06
30,1.769268,1.769268,0.3905,0.7795,0.5677,0.6569,0.0000,1.579735,1.579735,0.4176,0.4173,0.7756,0.5427,0.0000,-0.1895,3.8e-03,358.2,4.145938,4.134390,1.154832e-02,3.958275,3.947758,1.051788e-02,-0.1877,9.999999e-01,1.302145e-01,9.6e-04,100.00,505.02,100.00,499.12
31,1.743170,1.743170,0.3933,0.7867,0.5787,0.6669,0.0000,1.501611,1.501611,0.4333,0.6879,0.5537,0.6135,0.0000,-0.2416,3.8e-03,359.8,4.105771,4.093731,1.203996e-02,3.774594,3.762570,1.202390e-02,-0.3312,9.999999e-01,1.205197e-01,9.6e-04,100.00,504.11,100.00,481.88
32,1.729860,1.729860,0.3947,0.7979,0.6021,0.6863,0.0000,1.582136,1.582136,0.4147,0.5273,0.6829,0.5951,0.0000,-0.1477,3.8e-03,359.1,4.083073,4.071067,1.200537e-02,3.938693,3.928464,1.022883e-02,-0.1444,9.999999e-01,1.177060e-01,9.6e-04,100.00,505.45,100.00,502.90
