epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
19,2.929714,2.929714,0.3394,0.4792,0.0282,0.0533,2.647745,2.647745,0.3806,0.1935,0.0146,0.0272,-0.2820,3.9e-03,199.5,9.544178,9.537975,6.203279e-03,8.446539,8.439555,6.983228e-03,-1.0976,9.999999e-01,1.043208e-01,9.8e-04,100.00,91.11,100.00,86.97
20,2.892413,2.892413,0.3433,0.5059,0.0494,0.0900,2.691298,2.691298,0.3775,0.3077,0.0293,0.0535,-0.2011,3.9e-03,199.4,8.874672,8.868318,6.354320e-03,9.336281,9.327612,8.668782e-03,0.4616,9.999999e-01,1.025456e-01,9.8e-04,100.00,91.31,100.00,83.72
21,2.858869,2.858869,0.3497,0.5069,0.0576,0.1035,2.575874,2.575874,0.3966,0.2500,0.0024,0.0048,-0.2830,3.9e-03,199.7,8.464596,8.457899,6.696316e-03,7.561318,7.549919,1.139875e-02,-0.9033,9.999999e-01,1.137790e-01,9.7e-04,100.00,90.39,100.00,81.09
22,2.852144,2.852144,0.3486,0.5239,0.0787,0.1368,2.599777,2.599777,0.3889,0.3382,0.0561,0.0962,-0.2524,3.9e-03,199.5,7.932979,7.926078,6.900225e-03,7.258219,7.249509,8.710005e-03,-0.6748,9.999999e-01,1.125156e-01,9.7e-04,100.00,90.24,100.00,84.20
23,2.973685,2.973685,0.3682,0.3226,0.0435,0.0767,2.535589,2.535589,0.4311,0.0000,0.0000,0.0000,-0.4381,3.9e-03,200.1,10.780054,10.765932,1.412159e-02,14.437299,14.414456,2.284351e-02,3.6572,9.999999e-01,3.936478e-01,9.6e-04,100.00,74.84,100.00,46.24
24,2.545089,2.545089,0.4351,0.0995,0.0014,0.0027,2.591354,2.591354,0.4027,0.0000,0.0000,0.0000,0.0463,3.8e-03,199.1,14.413910,14.387393,2.651674e-02,13.381917,13.360994,2.092295e-02,-1.0320,9.999999e-01,1.416399e-01,9.6e-04,100.00,48.80,100.00,52.80
25,2.691358,2.691358,0.3812,0.1000,0.0001,0.0001,2.480168,2.480168,0.4107,0.0000,0.0000,0.0000,-0.2112,3.8e-03,199.9,13.701562,13.660154,4.140835e-02,11.211758,11.169471,4.228621e-02,-2.4898,9.999999e-01,1.173308e-01,9.6e-04,100.00,45.35,100.00,44.69
26,2.659393,2.659393,0.3763,0.0000,0.0000,0.0000,2.574444,2.574444,0.3937,0.0000,0.0000,0.0000,-0.0849,3.8e-03,199.0,11.439686,11.396497,4.318878e-02,10.212983,10.185147,2.783554e-02,-1.2267,9.999999e-01,9.824699e-02,9.5e-04,100.00,44.67,100.00,55.34
27,2.788909,2.788909,0.3554,1.0000,0.0001,0.0001,2.528068,2.528068,0.4087,0.0000,0.0000,0.0000,-0.2608,3.8e-03,199.7,10.431038,10.402558,2.848008e-02,10.449212,10.423577,2.563579e-02,0.0182,9.999999e-01,9.195209e-02,9.5e-04,100.00,56.59,100.00,53.06
28,2.742272,2.742272,0.3691,0.4000,0.0001,0.0003,2.521723,2.521723,0.4171,0.0000,0.0000,0.0000,-0.2205,3.8e-03,199.9,9.919251,9.894254,2.499742e-02,9.524571,9.495016,2.955570e-02,-0.3947,9.999999e-01,8.585280e-02,9.4e-04,100.00,56.31,100.00,49.01
