epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
35,3.217553,2.731820,0.2493,0.8304,0.6953,0.7569,0.4857,3.099324,2.689045,0.2607,0.6345,0.7580,0.6908,0.4103,-0.1182,3.8e-03,162.2
36,3.197207,2.724758,0.2503,0.8351,0.6965,0.7595,0.4724,3.110698,2.682284,0.2623,0.6329,0.7805,0.6990,0.4284,-0.0865,3.8e-03,161.6
37,3.183853,2.718914,0.2512,0.8370,0.6990,0.7618,0.4649,3.068119,2.667842,0.2642,0.5751,0.8327,0.6804,0.4003,-0.1157,3.8e-03,162.2
38,3.186813,2.715683,0.2518,0.8349,0.7020,0.7627,0.4711,3.101005,2.672381,0.2637,0.6815,0.7244,0.7023,0.4286,-0.0858,3.8e-03,161.6
39,3.172794,2.711201,0.2525,0.8384,0.7044,0.7656,0.4616,3.084883,2.674709,0.2635,0.6048,0.8024,0.6897,0.4102,-0.0879,3.7e-03,162.2
40,3.155827,2.703035,0.2538,0.8397,0.7045,0.7662,0.4528,3.053958,2.654144,0.2675,0.7240,0.7000,0.7118,0.3998,-0.1019,3.7e-03,161.8
41,3.152350,2.699186,0.2544,0.8413,0.7167,0.7740,0.4532,3.051221,2.644122,0.2672,0.5848,0.8088,0.6788,0.4071,-0.1011,3.7e-03,162.2
42,3.156457,2.694853,0.2553,0.8458,0.7108,0.7724,0.4616,3.063744,2.649806,0.2669,0.5910,0.8224,0.6877,0.4139,-0.0927,3.7e-03,161.6
43,3.142793,2.690013,0.2560,0.8378,0.7135,0.7707,0.4528,3.040875,2.635627,0.2691,0.7719,0.6785,0.7222,0.4052,-0.1019,3.7e-03,162.4
44,3.135076,2.685606,0.2567,0.8453,0.7195,0.7773,0.4495,3.045989,2.640053,0.2684,0.7179,0.7361,0.7269,0.4059,-0.0891,3.7e-03,161.8
45,3.125626,2.679262,0.2577,0.8521,0.7323,0.7877,0.4464,3.053855,2.637653,0.2697,0.6780,0.7620,0.7175,0.4162,-0.0718,3.6e-03,162.3
46,3.133222,2.677230,0.2581,0.8475,0.7216,0.7795,0.4560,3.040167,2.621317,0.2706,0.6490,0.7863,0.7111,0.4189,-0.0931,3.6e-03,161.7
47,3.123580,2.671956,0.2590,0.8518,0.7262,0.7840,0.4516,3.033258,2.618302,0.2716,0.5723,0.8415,0.6813,0.4150,-0.0903,3.6e-03,162.3
48,3.111412,2.666423,0.2597,0.8494,0.7257,0.7827,0.4450,3.020698,2.604032,0.2735,0.5466,0.8610,0.6687,0.4167,-0.0907,3.6e-03,161.8
49,3.100787,2.659692,0.2608,0.8516,0.7292,0.7856,0.4411,2.979027,2.589327,0.2767,0.6683,0.7893,0.7238,0.3897,-0.1218,3.6e-03,162.4
50,3.097934,2.655834,0.2616,0.8562,0.7292,0.7876,0.4421,2.996511,2.593865,0.2757,0.6281,0.8205,0.7115,0.4026,-0.1014,3.6e-03,161.9
51,3.111605,2.653376,0.2620,0.8499,0.7169,0.7777,0.4582,2.995030,2.584905,0.2775,0.6407,0.7951,0.7096,0.4101,-0.1166,3.5e-03,162.3
52,3.100212,2.647915,0.2627,0.8613,0.7257,0.7877,0.4523,2.993754,2.585109,0.2767,0.6421,0.7912,0.7089,0.4086,-0.1065,3.5e-03,161.8
53,3.087985,2.641518,0.2638,0.8636,0.7343,0.7937,0.4465,2.972500,2.574780,0.2794,0.6844,0.7702,0.7248,0.3977,-0.1155,3.5e-03,162.2
54,3.076571,2.636651,0.2647,0.8591,0.7363,0.7930,0.4399,2.962662,2.563631,0.2803,0.6077,0.8244,0.6996,0.3990,-0.1139,3.5e-03,161.7
55,3.066589,2.629078,0.2660,0.8601,0.7374,0.7940,0.4375,2.950596,2.563777,0.2813,0.6693,0.7956,0.7270,0.3868,-0.1160,3.5e-03,162.4
56,3.050790,2.622954,0.2669,0.8624,0.7475,0.8008,0.4278,2.938886,2.547766,0.2834,0.7016,0.7580,0.7287,0.3911,-0.1119,3.4e-03,161.9
57,3.051782,2.619678,0.2677,0.8570,0.7444,0.7967,0.4321,2.931187,2.548762,0.2816,0.5416,0.8605,0.6648,0.3824,-0.1206,3.4e-03,162.4
