epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
1,3.217020,3.217020,0.3821,0.0000,0.0000,0.0000,2.361453,2.361453,0.4525,0.0000,0.0000,0.0000,-0.8556,2.1e-04,214.2,779.568250,779.568250,494.791679,494.791679,-284.7766,1.379213e+03,1.379213e+03,,95.84,5.31,30.24,3.51
2,1.644101,1.644101,0.4849,0.0000,0.0000,0.0000,1.157033,1.157033,0.6027,0.1250,0.0073,0.0138,-0.4871,4.1e-04,97.0,46.347384,46.347384,18.858419,18.858419,-27.4890,1.017996e+03,1.017996e+03,,69.44,5.23,49.76,4.99
3,1.470378,1.470378,0.5236,0.0488,0.0007,0.0013,1.573144,1.573144,0.5219,0.0000,0.0000,0.0000,0.1028,6.0e-04,96.4,17.673425,17.673425,14.929665,14.929665,-2.7438,7.568935e+01,7.568935e+01,,80.32,11.61,48.16,13.22
4,1.997727,1.997727,0.4253,0.1481,0.0003,0.0005,2.025914,2.025914,0.4239,0.0000,0.0000,0.0000,0.0282,8.0e-04,97.1,13.972310,13.972310,11.709136,11.709136,-2.2632,6.184767e+01,6.184767e+01,,99.36,29.95,96.00,35.83
5,2.384003,2.384003,0.3563,0.2083,0.0003,0.0007,2.238663,2.238663,0.3834,0.0000,0.0000,0.0000,-0.1453,1.0e-03,96.5,11.255722,11.255722,9.301367,9.301367,-1.9544,4.655838e+01,4.655838e+01,,99.68,51.33,98.40,51.61
6,2.519639,2.519639,0.3349,0.2812,0.0043,0.0084,2.252545,2.252545,0.3837,0.0000,0.0000,0.0000,-0.2671,1.0e-03,96.8,9.300688,9.300688,8.185366,8.185366,-1.1153,4.185905e+01,4.185905e+01,,100.00,65.80,100.00,54.44
7,2.473236,2.473236,0.3416,0.4093,0.0107,0.0208,2.240715,2.240715,0.3883,0.0000,0.0000,0.0000,-0.2325,1.0e-03,96.2,7.732569,7.732569,7.168966,7.168966,-0.5636,3.331103e+01,3.331103e+01,,100.00,67.69,100.00,55.82
8,2.445665,2.445665,0.3441,0.5229,0.0265,0.0504,2.210530,2.210530,0.4004,0.3571,0.0122,0.0236,-0.2351,1.0e-03,96.0,7.123487,7.123487,6.863930,6.863930,-0.2596,2.783107e+01,2.783107e+01,,100.00,69.88,100.00,48.89
9,2.429658,2.429658,0.3485,0.5455,0.0390,0.0728,2.228092,2.228092,0.3892,0.3514,0.0951,0.1497,-0.2016,1.0e-03,97.0,6.689533,6.689533,6.167816,6.167816,-0.5217,2.539996e+01,2.539996e+01,,100.00,71.28,100.00,68.03
10,2.453156,2.453156,0.3431,0.4858,0.0697,0.1219,2.558544,2.558544,0.3289,0.3585,0.0463,0.0821,0.1054,1.0e-03,96.6,6.486425,6.486425,6.568865,6.568865,0.0824,2.271316e+01,2.271316e+01,,100.00,71.33,100.00,71.58
