epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
1,3.223846,3.223846,0.3793,0.0000,0.0000,0.0000,2.191532,2.191532,0.5099,0.0000,0.0000,0.0000,-1.0323,2.1e-04,244.3,682.714572,682.714572,368.283224,368.283224,-314.4313,1.653600e+03,1.653600e+03,,82.08,4.68,27.04,2.76
2,1.801033,1.801033,0.4559,0.0533,0.0003,0.0005,1.983742,1.983742,0.3764,0.0273,0.0073,0.0115,0.1827,4.1e-04,202.7,34.336074,34.336074,17.851243,17.851243,-16.4848,2.986616e+02,2.986616e+02,,96.80,9.63,78.88,19.62
3,2.131029,2.131029,0.3935,0.0673,0.0025,0.0047,2.281220,2.281220,0.3844,0.0000,0.0000,0.0000,0.1502,6.0e-04,195.6,16.528229,16.528229,13.110557,13.110557,-3.4177,6.292270e+01,6.292270e+01,,100.00,39.70,95.20,47.71
4,2.564640,2.564640,0.3206,0.1515,0.0003,0.0007,2.347681,2.347681,0.3646,0.0000,0.0000,0.0000,-0.2170,8.0e-04,195.6,11.857870,11.857870,9.551976,9.551976,-2.3059,5.392905e+01,5.392905e+01,,100.00,57.53,99.84,51.63
5,2.568040,2.568040,0.3218,0.1579,0.0002,0.0004,2.387928,2.387928,0.3578,0.0000,0.0000,0.0000,-0.1801,1.0e-03,195.7,9.390638,9.390638,7.697083,7.697083,-1.6936,3.999921e+01,3.999921e+01,,100.00,63.74,100.00,49.83
6,2.527110,2.527110,0.3269,0.2857,0.0001,0.0003,2.263460,2.263460,0.3846,0.0000,0.0000,0.0000,-0.2637,1.0e-03,195.6,7.871006,7.871006,7.264324,7.264324,-0.6067,3.178950e+01,3.178950e+01,,100.00,68.09,100.00,48.64
7,2.466891,2.466891,0.3365,0.5771,0.0090,0.0177,2.156084,2.156084,0.3974,0.6000,0.0073,0.0145,-0.3108,1.0e-03,195.3,6.913055,6.913055,6.173488,6.173488,-0.7396,2.571685e+01,2.571685e+01,,100.00,72.08,100.00,59.89
8,2.410062,2.410062,0.3462,0.5652,0.0479,0.0883,2.268558,2.268558,0.3823,0.4466,0.1122,0.1793,-0.1415,1.0e-03,195.7,6.315400,6.315400,5.832722,5.832722,-0.4827,2.037215e+01,2.037215e+01,,100.00,73.94,100.00,63.68
9,2.405077,2.405077,0.3470,0.4645,0.0732,0.1265,2.295559,2.295559,0.3666,0.2473,0.0561,0.0915,-0.1095,1.0e-03,195.7,6.011237,6.011237,5.515479,5.515479,-0.4958,1.906824e+01,1.906824e+01,,100.00,74.67,100.00,71.46
10,2.337426,2.337426,0.3617,0.5667,0.1627,0.2529,2.293787,2.293787,0.3821,0.3702,0.2122,0.2698,-0.0436,1.0e-03,195.7,5.679326,5.679326,5.654081,5.654081,-0.0252,1.665277e+01,1.665277e+01,,100.00,75.52,100.00,72.28
