epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
35,4.621198,4.149036,0.2629,0.8863,0.8042,0.8433,0.4722,4.583310,4.121386,0.2818,0.7145,0.8278,0.7670,0.4619,-0.0379,3.8e-03,173.9
36,4.602990,4.146199,0.2640,0.8863,0.7955,0.8385,0.4568,4.537595,4.120085,0.2833,0.7758,0.7493,0.7623,0.4175,-0.0654,3.8e-03,174.1
37,4.567695,4.143624,0.2648,0.8900,0.8018,0.8436,0.4241,4.539896,4.120512,0.2829,0.7587,0.8083,0.7827,0.4194,-0.0278,3.8e-03,174.1
38,4.559228,4.140249,0.2662,0.8895,0.8145,0.8504,0.4190,4.525769,4.118849,0.2837,0.8254,0.7566,0.7895,0.4069,-0.0335,3.8e-03,175.7
39,4.553033,4.137507,0.2673,0.8913,0.8169,0.8525,0.4155,4.522045,4.114414,0.2851,0.7775,0.7927,0.7850,0.4076,-0.0310,3.7e-03,174.4
40,4.600219,4.164851,0.2634,0.8795,0.7931,0.8341,0.4354,4.550114,4.115017,0.2860,0.6662,0.8693,0.7543,0.4351,-0.0501,3.7e-03,173.6
41,4.556817,4.133702,0.2686,0.8972,0.8212,0.8575,0.4231,4.532507,4.111966,0.2864,0.7348,0.8571,0.7913,0.4205,-0.0243,3.7e-03,173.5
42,4.551558,4.130369,0.2701,0.8945,0.8237,0.8577,0.4212,4.526845,4.111082,0.2867,0.6553,0.8790,0.7508,0.4158,-0.0247,3.7e-03,173.3
43,4.549308,4.128727,0.2707,0.8880,0.8214,0.8534,0.4206,4.540202,4.112777,0.2872,0.7663,0.8205,0.7925,0.4274,-0.0091,3.7e-03,174.7
44,4.543671,4.126473,0.2714,0.8939,0.8226,0.8568,0.4172,4.516275,4.107182,0.2880,0.7289,0.8576,0.7880,0.4091,-0.0274,3.7e-03,173.4
45,4.522512,4.124310,0.2722,0.8893,0.8159,0.8510,0.3982,4.474506,4.105628,0.2891,0.8049,0.7649,0.7844,0.3689,-0.0480,3.6e-03,173.3
46,4.502148,4.122407,0.2732,0.8931,0.8244,0.8574,0.3797,4.479450,4.106328,0.2892,0.6936,0.8624,0.7689,0.3731,-0.0227,3.6e-03,173.4
47,4.498223,4.120356,0.2741,0.9005,0.8324,0.8651,0.3779,4.475094,4.106815,0.2896,0.6670,0.8844,0.7605,0.3683,-0.0231,3.6e-03,174.6
48,4.492711,4.117657,0.2749,0.8973,0.8331,0.8640,0.3751,4.481366,4.105037,0.2899,0.6297,0.8868,0.7365,0.3763,-0.0113,3.6e-03,173.3
49,4.494444,4.116004,0.2756,0.8977,0.8308,0.8629,0.3784,4.474100,4.104049,0.2904,0.7022,0.8717,0.7778,0.3701,-0.0203,3.6e-03,173.3
50,4.490161,4.114451,0.2761,0.8995,0.8392,0.8683,0.3757,4.466858,4.100999,0.2909,0.6525,0.8941,0.7545,0.3659,-0.0233,3.6e-03,173.4
51,4.486373,4.111986,0.2769,0.9012,0.8401,0.8696,0.3744,4.470076,4.102657,0.2907,0.6067,0.9141,0.7293,0.3674,-0.0163,3.5e-03,173.5
52,4.484777,4.110285,0.2778,0.9029,0.8448,0.8729,0.3745,4.469679,4.102456,0.2916,0.7151,0.8620,0.7817,0.3672,-0.0151,3.5e-03,174.9
53,4.460904,4.108748,0.2783,0.8853,0.8123,0.8472,0.3522,4.441845,4.101982,0.2920,0.7147,0.8517,0.7772,0.3399,-0.0191,3.5e-03,173.7
