epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_slow,train_unif,fsq_val_total,val_recon,val_slow,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,gamma_0,gamma_1,gamma_2,gamma_3
17,2.035860,2.035860,0.3555,0.5966,0.1068,0.1812,0.0000,1.921747,1.921747,0.3765,0.2159,0.2512,0.2322,0.0000,-0.1141,4.0e-03,214.7,20.165545,20.119974,0.780198,-3.244790,19.936106,19.895270,0.735417,-3.270606,-0.2294,9.999999e-01,1.283474e-01,9.9e-04,1.623147,1.646698,0.967233,1.624681
18,2.002139,2.002139,0.3608,0.6181,0.1156,0.1948,0.0000,1.957154,1.957154,0.3636,0.2080,0.2537,0.2286,0.0000,-0.0450,4.0e-03,215.5,20.187703,20.143157,0.770699,-3.252324,19.454929,19.413051,0.744882,-3.261014,-0.7328,9.999999e-01,1.284824e-01,9.9e-04,1.634248,1.658387,0.978778,1.636162
19,1.968088,1.968088,0.3662,0.5952,0.1166,0.1950,0.0000,1.931849,1.931849,0.3692,0.2196,0.2293,0.2243,0.0000,-0.0362,4.0e-03,214.7,20.217127,20.173108,0.766451,-3.262663,20.471150,20.430905,0.730535,-3.280861,0.2540,9.999999e-01,1.211709e-01,9.9e-04,1.645442,1.670053,0.989344,1.647808
20,1.943851,1.943851,0.3704,0.6156,0.1248,0.2075,0.0000,1.866693,1.866693,0.3859,0.3200,0.1366,0.1915,0.0000,-0.0772,3.9e-03,215.2,20.286945,20.244014,0.756172,-3.268561,19.692980,19.655449,0.703645,-3.283377,-0.5940,9.999999e-01,1.164922e-01,9.9e-04,1.655170,1.681146,0.999899,1.659891
21,1.925881,1.925881,0.3726,0.6085,0.1353,0.2214,0.0000,1.840658,1.840658,0.3846,0.1849,0.2756,0.2214,0.0000,-0.0852,3.9e-03,214.6,20.390359,20.347445,0.757200,-3.280613,20.127251,20.089578,0.706851,-3.301187,-0.2631,9.999999e-01,1.152913e-01,9.8e-04,1.664862,1.691755,1.010057,1.671239
22,1.900167,1.900167,0.3762,0.6263,0.1366,0.2243,0.0000,1.830331,1.830331,0.3867,0.2972,0.1805,0.2246,0.0000,-0.0698,3.9e-03,215.6,20.285924,20.244032,0.748979,-3.300540,19.832290,19.794039,0.713873,-3.313583,-0.4536,9.999999e-01,1.069550e-01,9.8e-04,1.674572,1.702412,1.021033,1.682765
23,1.876841,1.876841,0.3804,0.6259,0.1434,0.2333,0.0000,1.809937,1.809937,0.3920,0.2892,0.1756,0.2185,0.0000,-0.0669,3.9e-03,215.1,20.281626,20.239820,0.748767,-3.306987,19.945469,19.907398,0.711476,-3.307636,-0.3362,9.999999e-01,1.054915e-01,9.8e-04,1.683896,1.712972,1.031567,1.693332
24,1.858940,1.858940,0.3834,0.6355,0.1478,0.2398,0.0000,1.793591,1.793591,0.3908,0.2763,0.2244,0.2476,0.0000,-0.0653,3.9e-03,214.4,20.370773,20.328977,0.750231,-3.322757,19.887283,19.847787,0.729641,-3.346828,-0.4835,9.999999e-01,1.001293e-01,9.8e-04,1.693521,1.723585,1.041595,1.703390
25,1.836976,1.836976,0.3878,0.6326,0.1486,0.2406,0.0000,1.970733,1.970733,0.3587,0.2378,0.3098,0.2691,0.0000,0.1338,3.9e-03,215.2,20.394313,20.352458,0.750903,-3.323587,19.929922,19.893177,0.702557,-3.351089,-0.4644,9.999999e-01,9.560920e-02,9.8e-04,1.703431,1.733373,1.050644,1.713521
26,1.822530,1.822530,0.3898,0.6399,0.1554,0.2501,0.0000,1.846881,1.846881,0.3757,0.4886,0.1049,0.1727,0.0000,0.0244,3.9e-03,215.1,20.423163,20.381347,0.752028,-3.338688,20.112602,20.075720,0.706386,-3.375731,-0.3106,9.999999e-01,9.352828e-02,9.7e-04,1.712834,1.743149,1.060128,1.723136
27,1.805696,1.805696,0.3933,0.6498,0.1565,0.2523,0.0000,1.755200,1.755200,0.4031,0.2607,0.2829,0.2713,0.0000,-0.0505,3.9e-03,214.5,20.396104,20.354177,0.753830,-3.345608,20.604278,20.567615,0.701732,-3.350983,0.2082,9.999999e-01,8.804949e-02,9.7e-04,1.722357,1.752084,1.068545,1.733101
28,1.796561,1.796561,0.3951,0.6548,0.1748,0.2760,0.0000,1.707526,1.707526,0.4100,0.3892,0.1585,0.2253,0.0000,-0.0890,3.9e-03,215.5,20.587511,20.545998,0.748881,-3.337520,20.423626,20.386071,0.711494,-3.359393,-0.1639,9.999999e-01,8.776432e-02,9.7e-04,1.731722,1.761264,1.074662,1.741830
29,1.783994,1.783994,0.3983,0.6546,0.1635,0.2617,0.0000,1.806348,1.806348,0.3892,0.3471,0.2049,0.2577,0.0000,0.0224,3.9e-03,214.5,20.544198,20.502617,0.751147,-3.353355,20.237042,20.200122,0.705119,-3.359228,-0.3072,9.999999e-01,8.246132e-02,9.6e-04,1.740770,1.770183,1.084222,1.751588
30,1.769808,1.769808,0.4011,0.6549,0.1640,0.2623,0.0000,1.857559,1.857559,0.3765,0.5312,0.0829,0.1435,0.0000,0.0878,3.8e-03,214.5,20.548457,20.505914,0.761356,-3.359264,20.551197,20.513792,0.711966,-3.379160,0.0027,9.999999e-01,8.044924e-02,9.6e-04,1.749547,1.778829,1.095011,1.761422
31,1.758550,1.758550,0.4038,0.6430,0.1707,0.2697,0.0000,1.704646,1.704646,0.4118,0.2599,0.3049,0.2806,0.0000,-0.0539,3.8e-03,215.1,20.535596,20.492605,0.766162,-3.362496,20.632833,20.596263,0.702784,-3.370843,0.0972,9.999999e-01,7.914674e-02,9.6e-04,1.758431,1.787430,1.099594,1.770353
32,1.753765,1.753765,0.4047,0.6475,0.1608,0.2577,0.0000,1.681264,1.681264,0.4179,0.2922,0.2366,0.2615,0.0000,-0.0725,3.8e-03,215.1,20.689907,20.646229,0.774627,-3.378418,20.422257,20.384249,0.720911,-3.408237,-0.2676,9.999999e-01,7.803868e-02,9.6e-04,1.765889,1.795238,1.109176,1.778823
33,1.753174,1.753174,0.4051,0.6559,0.1701,0.2702,0.0000,1.718600,1.718600,0.4080,0.3743,0.1561,0.2203,0.0000,-0.0346,3.8e-03,214.5,20.667768,20.623550,0.780042,-3.378615,20.417106,20.376921,0.744666,-3.428226,-0.2507,9.999999e-01,7.816600e-02,9.5e-04,1.773568,1.802910,1.112856,1.786738
34,1.748191,1.748191,0.4053,0.6413,0.1632,0.2602,0.0000,1.763020,1.763020,0.3975,0.2714,0.2707,0.2711,0.0000,0.0148,3.8e-03,215.1,20.731008,20.686882,0.780361,-3.391082,20.652697,20.611886,0.751399,-3.432918,-0.0783,9.999999e-01,7.610982e-02,9.5e-04,1.780263,1.809986,1.114639,1.793336
35,1.740435,1.740435,0.4073,0.6498,0.1741,0.2746,0.0000,1.671502,1.671502,0.4186,0.2262,0.3366,0.2706,0.0000,-0.0689,3.8e-03,215.2,20.785145,20.740579,0.785353,-3.396896,20.426533,20.385934,0.748786,-3.427973,-0.3586,9.999999e-01,7.546404e-02,9.5e-04,1.787681,1.817096,1.123613,1.801077
36,1.738279,1.738279,0.4080,0.6358,0.1596,0.2552,0.0000,1.679515,1.679515,0.4176,0.2971,0.2732,0.2846,0.0000,-0.0588,3.8e-03,214.5,20.708194,20.662761,0.793672,-3.393480,20.681414,20.642339,0.730885,-3.401333,-0.0268,9.999999e-01,7.378794e-02,9.4e-04,1.796258,1.825450,1.128776,1.809730
37,1.730838,1.730838,0.4096,0.6520,0.1713,0.2714,0.0000,1.639728,1.639728,0.4282,0.3695,0.2244,0.2792,0.0000,-0.0911,3.8e-03,215.1,20.791031,20.746136,0.788324,-3.393753,20.591824,20.550113,0.758374,-3.412677,-0.1992,9.999999e-01,7.523820e-02,9.4e-04,1.802397,1.831337,1.133902,1.815965
38,1.730169,1.730169,0.4098,0.6558,0.1711,0.2714,0.0000,1.653802,1.653802,0.4248,0.2485,0.3122,0.2768,0.0000,-0.0764,3.7e-03,215.1,20.773933,20.727795,0.800830,-3.394432,20.608124,20.567962,0.745216,-3.436007,-0.1658,9.999999e-01,7.457648e-02,9.3e-04,1.808592,1.837296,1.132151,1.822275
