epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
94,2.874451,0.467688,-3.289875,3.026654,5.5e-04,16.6
95,2.868614,0.466471,-3.290979,3.032303,5.4e-04,15.7
96,2.847591,0.467348,-3.293609,2.984283,5.4e-04,16.6
97,2.837831,0.465368,-3.290941,2.972958,5.3e-04,15.7
98,2.826962,0.467518,-3.295134,2.960872,5.2e-04,16.6
99,2.818541,0.466201,-3.298443,2.977077,5.1e-04,15.7
100,2.806207,0.465318,-3.295820,2.946089,5.0e-04,16.6
101,2.793848,0.464224,-3.296838,2.966848,5.0e-04,15.7
102,2.775765,0.465018,-3.298834,2.973566,4.9e-04,16.6
103,2.776930,0.462816,-3.298184,2.935227,4.8e-04,15.7
104,2.781795,0.464795,-3.298941,2.928651,4.7e-04,16.6
105,2.748433,0.462514,-3.300749,2.884485,4.7e-04,15.7
106,2.745744,0.463518,-3.301393,2.915577,4.6e-04,16.6
107,2.735816,0.464103,-3.301924,2.906199,4.5e-04,15.7
108,2.736714,0.464444,-3.303413,2.924666,4.4e-04,16.6
109,2.715498,0.461236,-3.300358,2.856776,4.4e-04,15.7
110,2.716308,0.461008,-3.303989,2.905047,4.3e-04,16.6
111,2.690557,0.459873,-3.304271,2.823444,4.2e-04,15.7
112,2.688675,0.461923,-3.305332,2.854102,4.1e-04,16.6
113,2.682581,0.461682,-3.306407,2.884758,4.0e-04,15.7
114,2.670889,0.460938,-3.307670,2.866523,4.0e-04,16.6
115,2.683255,0.462462,-3.304954,2.843848,3.9e-04,15.7
116,2.651218,0.457012,-3.305045,2.786213,3.8e-04,16.6
117,2.631174,0.457860,-3.309608,2.778167,3.7e-04,15.7
118,2.639920,0.460445,-3.311085,2.749882,3.7e-04,16.6
119,2.623156,0.460054,-3.313809,2.765644,3.6e-04,15.7
120,2.619485,0.459789,-3.315369,2.782511,3.5e-04,16.6
121,2.620432,0.462760,-3.316999,2.780727,3.4e-04,15.7
122,2.608202,0.458521,-3.313527,2.755803,3.4e-04,16.6
123,2.596063,0.459325,-3.317405,2.716695,3.3e-04,15.7
124,2.594480,0.461357,-3.319280,2.738474,3.2e-04,16.6
125,2.588613,0.456659,-3.318425,2.718218,3.2e-04,15.7
