epoch,train_recon,train_slow,train_uniform,val_recon,codebook_usage,codebook_ppl,lr,time_s
72,1.824941,0.690810,-3.536816,1.828234,1.0000,0.7531,7.2e-04,92.8
73,1.825605,0.694118,-3.538727,1.973710,1.0000,0.7073,7.1e-04,92.9
74,1.818597,0.692643,-3.538944,1.816410,1.0000,0.7075,7.0e-04,92.9
75,1.813959,0.691864,-3.540990,1.812999,1.0000,0.6815,6.9e-04,92.9
76,1.807741,0.689655,-3.541261,1.857377,1.0000,0.7271,6.9e-04,92.7
77,1.805424,0.692131,-3.544047,1.828602,1.0000,0.7213,6.8e-04,92.9
78,1.801665,0.690573,-3.544590,2.056528,1.0000,0.6384,6.7e-04,92.7
79,1.797868,0.689282,-3.545381,1.794172,1.0000,0.7386,6.7e-04,92.9
80,1.791122,0.690372,-3.546930,1.785109,1.0000,0.7190,6.6e-04,92.8
81,1.787994,0.692598,-3.549621,1.765637,1.0000,0.7509,6.5e-04,92.8
82,1.784537,0.691050,-3.548759,1.814521,1.0000,0.6876,6.4e-04,93.0
83,1.777941,0.687127,-3.549078,1.798429,1.0000,0.6971,6.4e-04,92.9
84,1.775773,0.691096,-3.550943,1.761849,1.0000,0.7322,6.3e-04,92.7
85,1.771668,0.687936,-3.551871,1.818163,1.0000,0.7021,6.2e-04,92.8
86,1.766804,0.688320,-3.553372,1.793404,1.0000,0.6786,6.1e-04,92.8
87,1.765660,0.689357,-3.553108,1.805616,1.0000,0.6616,6.1e-04,92.8
88,1.759413,0.690156,-3.555382,1.763118,1.0000,0.7167,6.0e-04,92.7
89,1.757930,0.687110,-3.554499,1.801877,1.0000,0.7112,5.9e-04,93.0
90,1.754993,0.686661,-3.556159,1.761990,1.0000,0.7450,5.8e-04,93.0
91,1.749554,0.687771,-3.557295,1.771464,1.0000,0.7140,5.7e-04,92.8
92,1.747149,0.687440,-3.557149,1.967845,1.0000,0.6828,5.7e-04,92.9
93,1.742878,0.687200,-3.557636,1.745639,1.0000,0.7337,5.6e-04,93.3
94,1.740096,0.689064,-3.559091,1.727065,1.0000,0.7319,5.5e-04,93.0
95,1.735869,0.687573,-3.560217,1.749113,1.0000,0.7460,5.4e-04,92.9
96,1.733573,0.685961,-3.561667,1.725618,1.0000,0.7344,5.4e-04,93.0
97,1.732964,0.688573,-3.562647,1.767409,1.0000,0.7431,5.3e-04,92.7
98,1.726887,0.686912,-3.562282,1.765980,1.0000,0.6880,5.2e-04,92.6
99,1.726659,0.686814,-3.562322,1.702649,1.0000,0.7529,5.1e-04,92.7
100,1.721392,0.687546,-3.563969,1.730750,1.0000,0.7295,5.0e-04,92.9
101,1.721054,0.684583,-3.564705,1.814138,1.0000,0.7334,5.0e-04,92.8
102,1.716779,0.687165,-3.565921,1.783482,1.0000,0.7637,4.9e-04,93.2
103,1.715490,0.685743,-3.565633,1.702086,1.0000,0.7209,4.8e-04,93.1
104,1.711822,0.686158,-3.566118,1.738036,1.0000,0.7148,4.7e-04,93.0
105,1.711010,0.687849,-3.567348,1.720323,1.0000,0.7430,4.7e-04,92.8
106,1.707199,0.686809,-3.568695,1.710208,1.0000,0.7048,4.6e-04,92.7
107,1.702313,0.684573,-3.567461,1.699720,1.0000,0.7189,4.5e-04,92.7
108,1.700301,0.684431,-3.569321,1.707334,1.0000,0.7262,4.4e-04,93.0
109,1.699856,0.687606,-3.570248,1.731017,1.0000,0.7166,4.4e-04,93.0
110,1.697910,0.687472,-3.571003,1.689615,1.0000,0.7696,4.3e-04,92.8
111,1.694585,0.684645,-3.572375,1.735117,1.0000,0.6964,4.2e-04,93.0
112,1.692425,0.687754,-3.571945,1.707437,1.0000,0.7047,4.1e-04,93.1
113,1.689001,0.687124,-3.573309,1.801400,1.0000,0.7335,4.0e-04,93.0
114,1.688910,0.687008,-3.572554,1.710184,1.0000,0.7087,4.0e-04,92.8
115,1.686757,0.687356,-3.573147,1.704399,1.0000,0.6971,3.9e-04,92.7
116,1.681916,0.685244,-3.573246,1.682945,1.0000,0.7299,3.8e-04,93.2
117,1.680752,0.684586,-3.573399,1.686161,1.0000,0.7031,3.7e-04,93.0
118,1.678049,0.685102,-3.574794,1.725061,1.0000,0.7024,3.7e-04,93.2
119,1.676304,0.686626,-3.574853,1.683367,1.0000,0.7232,3.6e-04,92.7
120,1.673488,0.684011,-3.575562,1.694381,1.0000,0.7107,3.5e-04,92.8
121,1.672223,0.685658,-3.574972,1.642339,1.0000,0.7429,3.4e-04,92.6
122,1.670986,0.686891,-3.577207,1.720607,1.0000,0.7449,3.4e-04,92.7
123,1.670579,0.687866,-3.577450,1.664405,1.0000,0.7086,3.3e-04,92.8
124,1.670360,0.688789,-3.578067,1.675028,1.0000,0.7655,3.2e-04,93.0
