epoch,train_total,train_loss,train_acc,train_death_acc,train_cpc,val_total,val_loss,val_acc,val_death_acc,val_cpc,gap,lr,time_s
46,2.642690,2.608965,0.2882,0.9478,0.3373,2.646997,2.620491,0.2902,0.9675,0.2651,0.0043,9.1e-04,117.2
47,2.631405,2.598061,0.2911,0.9482,0.3334,2.652679,2.626168,0.2880,0.9653,0.2651,0.0213,9.0e-04,116.0
48,2.623610,2.590447,0.2936,0.9485,0.3316,2.645147,2.618658,0.2911,0.9686,0.2649,0.0215,9.0e-04,116.4
49,2.621400,2.588067,0.2929,0.9481,0.3333,2.655717,2.629231,0.2881,0.9609,0.2649,0.0343,8.9e-04,116.4
50,2.621609,2.588342,0.2930,0.9490,0.3327,2.623656,2.597807,0.2937,0.9732,0.2585,0.0020,8.9e-04,116.0
51,2.610456,2.577487,0.2953,0.9484,0.3297,2.639783,2.612843,0.2911,0.9688,0.2694,0.0293,8.8e-04,116.4
52,2.615837,2.582682,0.2954,0.9512,0.3316,2.655480,2.627119,0.2881,0.9587,0.2836,0.0396,8.8e-04,116.3
53,2.605952,2.573002,0.2960,0.9506,0.3295,2.610274,2.584877,0.2965,0.9698,0.2540,0.0043,8.7e-04,116.0
54,2.611004,2.578218,0.2964,0.9521,0.3279,2.606476,2.580726,0.2975,0.9715,0.2575,-0.0045,8.7e-04,116.4
55,2.574757,2.542057,0.3003,0.9478,0.3270,2.618689,2.592750,0.2945,0.9703,0.2594,0.0439,8.6e-04,116.4
56,2.590401,2.558255,0.2989,0.9516,0.3215,2.612146,2.585718,0.2955,0.9741,0.2643,0.0217,8.6e-04,116.0
57,2.590664,2.557672,0.3001,0.9526,0.3299,2.635523,2.608384,0.2911,0.9613,0.2714,0.0449,8.5e-04,116.5
58,2.572377,2.538533,0.3026,0.9450,0.3384,2.612645,2.585376,0.2962,0.9826,0.2727,0.0403,8.5e-04,116.4
59,2.563137,2.529205,0.3043,0.9509,0.3393,2.622980,2.595530,0.2937,0.9636,0.2745,0.0598,8.4e-04,116.0
60,2.559724,2.526175,0.3066,0.9533,0.3355,2.658379,2.632232,0.2877,0.9741,0.2615,0.0987,8.3e-04,116.4
61,2.558412,2.524834,0.3064,0.9544,0.3358,2.610808,2.583993,0.2961,0.9699,0.2682,0.0524,8.3e-04,116.0
62,2.566095,2.532308,0.3067,0.9536,0.3379,2.604056,2.576499,0.2976,0.9728,0.2756,0.0380,8.2e-04,116.3
63,2.549046,2.515661,0.3074,0.9539,0.3339,2.581299,2.554925,0.3019,0.9671,0.2637,0.0323,8.2e-04,116.4
64,2.564393,2.531396,0.3064,0.9538,0.3300,2.574070,2.547707,0.3034,0.9692,0.2636,0.0097,8.1e-04,115.9
65,2.548792,2.515965,0.3085,0.9537,0.3283,2.589632,2.562890,0.3010,0.9711,0.2674,0.0408,8.1e-04,116.4
66,2.544736,2.512167,0.3103,0.9542,0.3257,2.595527,2.567836,0.3002,0.9702,0.2769,0.0508,8.0e-04,116.4
67,2.537246,2.505101,0.3107,0.9546,0.3214,2.585151,2.558685,0.3003,0.9672,0.2647,0.0479,7.9e-04,116.1
68,2.550780,2.518358,0.3094,0.9539,0.3242,2.569222,2.543314,0.3040,0.9652,0.2591,0.0184,7.9e-04,116.6
69,2.545119,2.512637,0.3106,0.9552,0.3248,2.579967,2.553371,0.3018,0.9762,0.2660,0.0348,7.8e-04,116.5
70,2.541160,2.509040,0.3104,0.9544,0.3212,2.571261,2.545739,0.3030,0.9723,0.2552,0.0301,7.7e-04,115.9
71,2.521416,2.489686,0.3144,0.9540,0.3173,2.561372,2.535104,0.3062,0.9689,0.2627,0.0400,7.7e-04,116.4
72,2.527621,2.495872,0.3133,0.9567,0.3175,2.580831,2.553902,0.3023,0.9708,0.2693,0.0532,7.6e-04,116.3
