epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
94,3.037005,0.455338,-3.740757,3.123267,5.5e-04,13.7
95,3.026902,0.455636,-3.741144,3.124356,5.4e-04,14.4
96,3.009519,0.455633,-3.741428,3.113615,5.4e-04,13.7
97,2.998253,0.455990,-3.741650,3.104817,5.3e-04,13.7
98,2.983694,0.455725,-3.741877,3.096249,5.2e-04,14.4
99,2.966009,0.456705,-3.743883,3.099130,5.1e-04,13.7
100,2.958304,0.456653,-3.744071,3.040842,5.0e-04,14.4
101,2.937703,0.456695,-3.744866,3.054471,5.0e-04,13.7
102,2.918240,0.456669,-3.743571,3.075542,4.9e-04,13.7
103,2.915197,0.456924,-3.744495,3.055694,4.8e-04,14.4
104,2.907412,0.457154,-3.744903,3.053115,4.7e-04,13.7
105,2.898203,0.456928,-3.744603,3.027684,4.7e-04,14.4
106,2.892606,0.457348,-3.745215,3.025118,4.6e-04,13.7
107,2.882997,0.457321,-3.746237,2.976238,4.5e-04,13.7
108,2.867003,0.456935,-3.745617,2.956980,4.4e-04,14.4
109,2.854499,0.457335,-3.745943,2.960468,4.4e-04,13.7
110,2.840169,0.457460,-3.746508,2.970305,4.3e-04,14.4
111,2.843063,0.458008,-3.746308,2.926707,4.2e-04,13.7
112,2.832226,0.457658,-3.746549,2.930993,4.1e-04,13.7
113,2.813484,0.457153,-3.746933,2.916421,4.0e-04,14.4
114,2.813890,0.458183,-3.747086,2.900192,4.0e-04,13.7
115,2.792773,0.456909,-3.747482,2.918059,3.9e-04,14.4
116,2.785457,0.457354,-3.746755,2.881342,3.8e-04,13.7
117,2.800436,0.458433,-3.748026,2.909811,3.7e-04,13.7
118,2.772879,0.457355,-3.747688,2.872841,3.7e-04,14.4
119,2.769952,0.457880,-3.747277,2.879497,3.6e-04,13.8
120,2.752665,0.457443,-3.748373,2.845918,3.5e-04,14.4
121,2.744186,0.457800,-3.747687,2.856119,3.4e-04,13.7
122,2.743651,0.458384,-3.747925,2.843161,3.4e-04,13.7
123,2.732242,0.457464,-3.746892,2.838058,3.3e-04,14.4
124,2.725779,0.457867,-3.747248,2.831870,3.2e-04,13.7
125,2.709257,0.457533,-3.748386,2.810110,3.2e-04,14.4
126,2.718069,0.457544,-3.747300,2.817400,3.1e-04,13.8
127,2.704746,0.457758,-3.747401,2.830869,3.0e-04,13.7
128,2.693463,0.457106,-3.749098,2.814198,2.9e-04,14.4
129,2.688548,0.457708,-3.749036,2.788309,2.9e-04,13.8
130,2.684516,0.457959,-3.748423,2.776081,2.8e-04,14.4
131,2.681140,0.457143,-3.748601,2.775230,2.7e-04,13.8
132,2.670059,0.457942,-3.748355,2.769865,2.7e-04,13.8
133,2.663612,0.457643,-3.749990,2.778613,2.6e-04,14.4
134,2.658665,0.458125,-3.749396,2.743843,2.5e-04,13.8
135,2.647968,0.457270,-3.749123,2.746095,2.5e-04,14.4
136,2.648075,0.457268,-3.749022,2.745246,2.4e-04,13.8
137,2.637853,0.456844,-3.748899,2.737095,2.3e-04,13.8
138,2.640298,0.458529,-3.748949,2.733882,2.3e-04,14.4
139,2.639842,0.457947,-3.748779,2.726554,2.2e-04,13.8
140,2.636517,0.456996,-3.748674,2.714791,2.1e-04,14.4
141,2.616664,0.457090,-3.749609,2.732238,2.1e-04,13.8
142,2.615276,0.456867,-3.748508,2.701919,2.0e-04,13.7
143,2.611123,0.457098,-3.749084,2.732136,2.0e-04,14.4
144,2.614981,0.457200,-3.748470,2.699277,1.9e-04,13.8
145,2.602478,0.457033,-3.747924,2.699087,1.8e-04,14.4
146,2.597145,0.457445,-3.748376,2.713003,1.8e-04,13.8
147,2.591718,0.457318,-3.748609,2.675343,1.7e-04,13.7
148,2.589317,0.456607,-3.748674,2.682087,1.7e-04,14.4
149,2.576837,0.456617,-3.748669,2.691777,1.6e-04,13.8
150,2.582553,0.456599,-3.749081,2.673197,1.5e-04,14.4
151,2.580267,0.457806,-3.749707,2.673831,1.5e-04,13.8
152,2.567375,0.456971,-3.749219,2.658854,1.4e-04,13.8
153,2.561393,0.456653,-3.748782,2.655084,1.4e-04,14.4
154,2.556914,0.456923,-3.749162,2.655859,1.3e-04,13.7
155,2.561287,0.457309,-3.749397,2.649581,1.3e-04,14.5
156,2.553089,0.456087,-3.748519,2.646597,1.2e-04,13.8
157,2.547454,0.456438,-3.750216,2.662358,1.2e-04,13.8
158,2.552252,0.457155,-3.749117,2.639450,1.1e-04,14.4
159,2.544106,0.456104,-3.748801,2.652282,1.1e-04,13.8
160,2.538330,0.456829,-3.749116,2.627680,1.0e-04,14.5
161,2.539471,0.457105,-3.749551,2.630637,1.0e-04,13.8
162,2.537527,0.456158,-3.748735,2.634468,9.6e-05,13.8
163,2.532393,0.456587,-3.748743,2.622096,9.1e-05,14.4
164,2.528381,0.456038,-3.748921,2.620984,8.7e-05,13.7
165,2.525404,0.455832,-3.749551,2.625509,8.3e-05,14.3
166,2.524266,0.456590,-3.748737,2.623075,7.9e-05,13.7
167,2.522540,0.456306,-3.748565,2.621593,7.5e-05,13.6
168,2.521861,0.456299,-3.748913,2.617661,7.1e-05,14.3
169,2.520591,0.456538,-3.748794,2.620540,6.8e-05,13.7
170,2.514446,0.456458,-3.748833,2.603801,6.4e-05,14.3
171,2.511281,0.456613,-3.748592,2.602320,6.0e-05,13.7
172,2.506872,0.456000,-3.749312,2.600263,5.7e-05,13.7
173,2.506328,0.455934,-3.748933,2.604023,5.4e-05,14.3
174,2.507387,0.456345,-3.749411,2.599329,5.1e-05,13.7
175,2.504772,0.455944,-3.748350,2.602596,4.8e-05,14.4
176,2.505276,0.455826,-3.748688,2.597954,4.5e-05,13.7
177,2.500047,0.455593,-3.748897,2.595307,4.2e-05,13.7
178,2.501692,0.456443,-3.748659,2.591334,3.9e-05,14.4
179,2.496265,0.455775,-3.748991,2.590480,3.7e-05,13.7
180,2.498235,0.456063,-3.749538,2.594490,3.4e-05,14.4
181,2.496443,0.456288,-3.748482,2.587948,3.2e-05,13.8
182,2.492376,0.456029,-3.748695,2.585673,3.0e-05,13.7
183,2.492349,0.456350,-3.749221,2.587155,2.8e-05,14.4
184,2.492368,0.456419,-3.749195,2.587189,2.6e-05,13.8
185,2.490960,0.455547,-3.749596,2.582861,2.4e-05,14.5
186,2.487199,0.456170,-3.749431,2.582018,2.2e-05,13.8
