iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
80,25.32,19.1382,132.2995,38.1222,0.4080,1.0e-04,25.95,0.39,3.5
81,24.63,18.5767,138.4086,38.2083,0.4093,1.0e-04,,,6.1
82,24.26,18.3047,136.0391,39.4286,0.3968,1.0e-04,,,6.0
83,26.83,20.6270,130.3056,41.8505,0.3948,1.0e-04,,,6.0
84,25.52,19.5171,145.8783,39.1676,0.3945,1.0e-04,,,5.2
85,25.55,19.7026,137.2500,37.8778,0.3952,1.0e-04,,,5.2
86,24.96,19.0459,141.0849,38.6662,0.3953,1.0e-04,,,5.2
87,24.13,18.1045,131.3248,37.2381,0.4136,1.0e-04,,,6.1
88,25.83,19.6777,139.0347,40.7955,0.4032,1.0e-04,,,6.1
89,26.95,20.6250,135.4183,42.8776,0.4056,1.0e-04,,,5.2
90,26.30,19.9941,136.3028,41.2582,0.4000,1.0e-04,25.67,0.39,3.5
91,24.09,18.1162,150.6247,39.3780,0.4069,1.0e-04,,,6.1
92,24.72,18.7012,144.5097,39.9643,0.4110,1.0e-04,,,3.5
93,25.10,19.1377,147.7144,40.6193,0.3906,1.0e-04,,,6.1
94,25.45,19.4263,162.7183,41.7131,0.3860,1.0e-04,,,5.2
95,24.48,18.5737,134.9208,36.3423,0.4056,1.0e-04,,,5.2
96,24.95,18.8750,148.5226,37.8835,0.4006,1.0e-04,,,5.2
97,26.13,20.0605,133.5942,38.1576,0.4008,1.0e-04,,,6.2
98,24.29,18.5010,151.2065,37.7589,0.4026,1.0e-04,,,6.1
99,25.00,19.0127,129.7403,37.4688,0.4078,1.0e-04,,,5.2
100,25.24,19.3359,138.9988,38.0028,0.3962,1.0e-04,25.12,0.30,6.2
101,24.82,19.1196,135.1221,37.3452,0.3932,1.0e-04,,,6.2
102,24.99,19.2109,141.0719,39.7301,0.3877,1.0e-04,,,5.2
103,24.33,18.4463,143.1967,37.6548,0.4037,1.0e-04,,,6.0
104,24.65,18.7700,142.6373,37.4524,0.4109,1.0e-04,,,6.2
105,25.54,19.5986,135.3835,39.0369,0.4060,1.0e-04,,,3.5
106,24.69,18.6797,145.5644,39.1101,0.4135,1.0e-04,,,6.2
107,24.72,18.6948,153.4689,40.4911,0.4060,1.0e-04,,,6.1
108,25.38,19.2524,149.4670,40.1591,0.4089,1.0e-04,,,5.2
109,24.71,18.8115,152.5781,41.5149,0.4088,1.0e-04,,,3.5
110,25.43,19.4009,158.0982,41.7869,0.4057,1.0e-04,25.92,0.39,5.3
111,25.86,19.6709,151.7079,41.8494,0.4055,1.0e-04,,,6.2
112,25.40,19.2871,158.4989,41.2898,0.4093,1.0e-04,,,5.2
113,25.78,19.4556,151.0271,41.0369,0.4118,1.0e-04,,,6.1
114,25.32,19.1211,148.6273,44.7955,0.3999,1.0e-04,,,3.5
115,25.04,18.9185,152.0741,39.9006,0.4107,1.0e-04,,,5.3
116,24.91,18.7432,152.9024,42.0852,0.4108,1.0e-04,,,5.3
117,25.52,19.1440,155.3387,41.7869,0.4170,1.0e-04,,,3.5
118,25.05,18.8501,151.1232,42.0824,0.4123,1.0e-04,,,5.3
119,24.37,18.3262,160.3852,43.1815,0.4078,1.0e-04,,,5.2
120,25.25,19.0840,178.8895,42.8864,0.4088,1.0e-04,26.03,0.40,6.1
121,25.38,19.1304,145.0922,41.4318,0.4206,1.0e-04,,,5.2
122,25.91,19.4551,152.9576,42.0353,0.4116,1.0e-04,,,6.2
123,24.42,18.2437,164.4993,41.0238,0.4179,1.0e-04,,,5.2
124,25.21,19.0527,152.7395,41.2869,0.4147,1.0e-04,,,6.2
