epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
40,2.664311,2.664311,0.2696,0.8996,0.8433,0.8705,2.636832,2.636832,0.2773,0.6361,0.8629,0.7324,-0.0275,1.8e-03,75.5
41,2.659584,2.659584,0.2704,0.8996,0.8428,0.8702,2.633052,2.633052,0.2786,0.6522,0.8507,0.7384,-0.0265,1.8e-03,75.2
42,2.651283,2.651283,0.2718,0.8996,0.8438,0.8708,2.628444,2.628444,0.2791,0.6176,0.8912,0.7296,-0.0228,1.8e-03,75.2
43,2.645466,2.645466,0.2728,0.9011,0.8473,0.8734,2.633663,2.633663,0.2796,0.6528,0.8712,0.7463,-0.0118,1.8e-03,75.2
44,2.642632,2.642632,0.2733,0.9016,0.8455,0.8727,2.641768,2.641768,0.2779,0.6395,0.8766,0.7395,-0.0009,1.8e-03,75.2
45,2.635271,2.635271,0.2746,0.9035,0.8507,0.8763,2.633987,2.633987,0.2796,0.5733,0.8961,0.6993,-0.0013,1.8e-03,75.4
46,2.629446,2.629446,0.2755,0.9041,0.8509,0.8767,2.636559,2.636559,0.2797,0.6199,0.8815,0.7279,0.0071,1.8e-03,75.2
47,2.625565,2.625565,0.2760,0.9054,0.8519,0.8778,2.634698,2.634698,0.2801,0.7656,0.7805,0.7729,0.0091,1.8e-03,75.3
48,2.621115,2.621115,0.2768,0.9040,0.8522,0.8774,2.637510,2.637510,0.2794,0.6593,0.8561,0.7449,0.0164,1.8e-03,75.2
49,2.617467,2.617467,0.2776,0.9072,0.8546,0.8801,2.628283,2.628283,0.2806,0.6581,0.8537,0.7433,0.0108,1.8e-03,75.3
50,2.610642,2.610642,0.2787,0.9001,0.8515,0.8751,2.638685,2.638685,0.2793,0.6402,0.8698,0.7375,0.0280,1.8e-03,75.2
51,2.606220,2.606220,0.2793,0.9039,0.8526,0.8775,2.638726,2.638726,0.2804,0.6149,0.8927,0.7282,0.0325,1.7e-03,75.2
52,2.604144,2.604144,0.2796,0.9058,0.8539,0.8791,2.632653,2.632653,0.2818,0.6629,0.8634,0.7500,0.0285,1.7e-03,75.9
53,2.599239,2.599239,0.2804,0.9075,0.8588,0.8825,2.644053,2.644053,0.2809,0.6044,0.8854,0.7184,0.0448,1.7e-03,75.8
54,2.594179,2.594179,0.2812,0.9048,0.8601,0.8819,2.643000,2.643000,0.2803,0.6611,0.8649,0.7494,0.0488,1.7e-03,75.5
55,2.590908,2.590908,0.2820,0.9060,0.8568,0.8807,2.638486,2.638486,0.2809,0.5516,0.9176,0.6890,0.0476,1.7e-03,75.3
56,2.585335,2.585335,0.2829,0.9057,0.8586,0.8815,2.648344,2.648344,0.2802,0.5649,0.8976,0.6934,0.0630,1.7e-03,75.3
57,2.581267,2.581267,0.2835,0.9058,0.8609,0.8828,2.634373,2.634373,0.2827,0.5957,0.8834,0.7116,0.0531,1.7e-03,75.2
58,2.577268,2.577268,0.2844,0.9083,0.8583,0.8826,2.637703,2.637703,0.2815,0.5599,0.9093,0.6931,0.0604,1.7e-03,75.3
59,2.571699,2.571699,0.2853,0.9080,0.8602,0.8835,2.634630,2.634630,0.2821,0.6888,0.8434,0.7583,0.0629,1.7e-03,75.4
60,2.567905,2.567905,0.2858,0.9082,0.8604,0.8837,2.640742,2.640742,0.2814,0.6056,0.8995,0.7238,0.0728,1.6e-03,75.3
61,2.564465,2.564465,0.2863,0.9083,0.8610,0.8840,2.646082,2.646082,0.2818,0.6652,0.8693,0.7536,0.0816,1.6e-03,75.5
62,2.559639,2.559639,0.2874,0.9105,0.8637,0.8865,2.639749,2.639749,0.2832,0.6782,0.8420,0.7513,0.0801,1.6e-03,75.3
63,2.556080,2.556080,0.2878,0.9135,0.8647,0.8884,2.643824,2.643824,0.2827,0.5432,0.9141,0.6815,0.0877,1.6e-03,75.4
64,2.551882,2.551882,0.2885,0.9109,0.8628,0.8862,2.648087,2.648087,0.2826,0.6124,0.8741,0.7203,0.0962,1.6e-03,75.2
65,2.547611,2.547611,0.2892,0.9104,0.8606,0.8848,2.642361,2.642361,0.2834,0.6097,0.8824,0.7211,0.0948,1.6e-03,75.3
66,2.545333,2.545333,0.2895,0.9112,0.8660,0.8880,2.645268,2.645268,0.2828,0.5566,0.9117,0.6912,0.0999,1.6e-03,75.4
67,2.541898,2.541898,0.2901,0.9120,0.8649,0.8878,2.628088,2.628088,0.2847,0.6825,0.8502,0.7572,0.0862,1.6e-03,75.3
68,2.539223,2.539223,0.2908,0.9137,0.8651,0.8887,2.649283,2.649283,0.2826,0.6851,0.8468,0.7574,0.1101,1.5e-03,75.4
69,2.535405,2.535405,0.2915,0.9124,0.8675,0.8894,2.646138,2.646138,0.2843,0.5838,0.8917,0.7057,0.1107,1.5e-03,75.2
70,2.528492,2.528492,0.2926,0.9130,0.8642,0.8879,2.646756,2.646756,0.2842,0.7110,0.8317,0.7666,0.1183,1.5e-03,75.2
71,2.525588,2.525588,0.2931,0.9125,0.8656,0.8884,2.644638,2.644638,0.2846,0.6277,0.8668,0.7281,0.1190,1.5e-03,75.2
72,2.524485,2.524485,0.2933,0.9127,0.8727,0.8922,2.644294,2.644294,0.2849,0.6560,0.8605,0.7445,0.1198,1.5e-03,75.2
73,2.521649,2.521649,0.2938,0.9143,0.8721,0.8927,2.642525,2.642525,0.2846,0.6177,0.8829,0.7269,0.1209,1.5e-03,75.4
74,2.516702,2.516702,0.2946,0.9134,0.8709,0.8916,2.645478,2.645478,0.2845,0.6219,0.8912,0.7326,0.1288,1.5e-03,75.2
75,2.511158,2.511158,0.2957,0.9155,0.8725,0.8935,2.637416,2.637416,0.2852,0.6971,0.8532,0.7673,0.1263,1.4e-03,75.4
76,2.511324,2.511324,0.2957,0.9177,0.8668,0.8915,2.639861,2.639861,0.2855,0.6126,0.8854,0.7241,0.1285,1.4e-03,75.2
77,2.506449,2.506449,0.2962,0.9156,0.8710,0.8927,2.644111,2.644111,0.2856,0.6150,0.8907,0.7276,0.1377,1.4e-03,75.2
78,2.504087,2.504087,0.2968,0.9163,0.8715,0.8934,2.639975,2.639975,0.2861,0.6460,0.8741,0.7430,0.1359,1.4e-03,75.2
