epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
174,2.285836,2.285836,0.3383,0.9407,0.9110,0.9256,2.618194,2.618194,0.3019,0.6828,0.9000,0.7765,0.3324,1.3e-04,75.9
175,2.285824,2.285824,0.3384,0.9413,0.9062,0.9234,2.616410,2.616410,0.3023,0.6912,0.9020,0.7826,0.3306,1.3e-04,75.9
176,2.283734,2.283734,0.3389,0.9416,0.9104,0.9257,2.620548,2.620548,0.3018,0.6922,0.9005,0.7827,0.3368,1.2e-04,75.9
177,2.284644,2.284644,0.3385,0.9387,0.9075,0.9229,2.622554,2.622554,0.3020,0.6598,0.9166,0.7673,0.3379,1.2e-04,75.8
178,2.283013,2.283013,0.3389,0.9383,0.9098,0.9238,2.622394,2.622394,0.3021,0.7056,0.8922,0.7880,0.3394,1.1e-04,76.1
179,2.283271,2.283271,0.3387,0.9403,0.9130,0.9265,2.620558,2.620558,0.3019,0.7037,0.8966,0.7885,0.3373,1.1e-04,75.9
180,2.281776,2.281776,0.3392,0.9423,0.9122,0.9270,2.614984,2.614984,0.3026,0.6779,0.9054,0.7753,0.3332,1.0e-04,76.1
181,2.281595,2.281595,0.3393,0.9390,0.9102,0.9244,2.622879,2.622879,0.3019,0.6954,0.8985,0.7840,0.3413,9.5e-05,75.8
182,2.279677,2.279677,0.3395,0.9414,0.9066,0.9237,2.621285,2.621285,0.3021,0.6927,0.8951,0.7810,0.3416,9.1e-05,76.0
183,2.279813,2.279813,0.3397,0.9410,0.9088,0.9246,2.622841,2.622841,0.3018,0.7183,0.8805,0.7911,0.3430,8.6e-05,75.9
184,2.280342,2.280342,0.3395,0.9426,0.9092,0.9256,2.619861,2.619861,0.3022,0.6957,0.8966,0.7835,0.3395,8.2e-05,75.8
185,2.279667,2.279667,0.3397,0.9412,0.9094,0.9251,2.620255,2.620255,0.3024,0.6827,0.9059,0.7786,0.3406,7.8e-05,76.2
186,2.276095,2.276095,0.3403,0.9422,0.9101,0.9259,2.620775,2.620775,0.3025,0.6981,0.8956,0.7846,0.3447,7.5e-05,75.7
187,2.278763,2.278763,0.3398,0.9392,0.9075,0.9231,2.619364,2.619364,0.3024,0.6712,0.9102,0.7727,0.3406,7.1e-05,75.6
188,2.277060,2.277060,0.3403,0.9429,0.9100,0.9262,2.620690,2.620690,0.3027,0.6882,0.9000,0.7800,0.3436,6.8e-05,75.3
189,2.275584,2.275584,0.3405,0.9433,0.9118,0.9273,2.621232,2.621232,0.3025,0.6810,0.9039,0.7768,0.3456,6.5e-05,75.9
190,2.275678,2.275678,0.3403,0.9404,0.9082,0.9240,2.617168,2.617168,0.3029,0.6868,0.9020,0.7798,0.3415,6.3e-05,75.8
191,2.273797,2.273797,0.3410,0.9410,0.9096,0.9250,2.621026,2.621026,0.3025,0.6884,0.9000,0.7801,0.3472,6.0e-05,75.9
192,2.273790,2.273790,0.3409,0.9408,0.9121,0.9262,2.621069,2.621069,0.3025,0.6874,0.9044,0.7811,0.3473,5.8e-05,76.1
193,2.273175,2.273175,0.3409,0.9413,0.9094,0.9251,2.623028,2.623028,0.3026,0.6765,0.9088,0.7756,0.3499,5.6e-05,76.0
194,2.273863,2.273863,0.3408,0.9430,0.9126,0.9276,2.620160,2.620160,0.3029,0.7014,0.8971,0.7872,0.3463,5.5e-05,76.2
195,2.273514,2.273514,0.3407,0.9400,0.9115,0.9255,2.619490,2.619490,0.3028,0.7037,0.8966,0.7885,0.3460,5.3e-05,75.9
196,2.274070,2.274070,0.3407,0.9426,0.9107,0.9264,2.619525,2.619525,0.3029,0.6869,0.9044,0.7808,0.3455,5.2e-05,76.0
197,2.273228,2.273228,0.3411,0.9431,0.9132,0.9279,2.621068,2.621068,0.3026,0.6888,0.9049,0.7822,0.3478,5.1e-05,76.0
198,2.272861,2.272861,0.3409,0.9422,0.9090,0.9253,2.620439,2.620439,0.3027,0.6935,0.9039,0.7848,0.3476,5.1e-05,75.3
199,2.271941,2.271941,0.3412,0.9409,0.9092,0.9248,2.619848,2.619848,0.3029,0.6831,0.9063,0.7790,0.3479,5.0e-05,75.5
200,2.272923,2.272923,0.3409,0.9425,0.9113,0.9266,2.621283,2.621283,0.3028,0.6904,0.9029,0.7825,0.3484,5.0e-05,75.3
