epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
1,2.519707,2.519707,0.4320,0.0000,0.0000,0.0000,1.684069,1.684069,0.5640,0.0000,0.0000,0.0000,-0.8356,8.3e-04,332.1,683.070331,683.070331,367.489755,367.489755,-315.5806,1.653058e+03,3.240786e+00,2.1e-04,81.60,4.89,27.84,2.87
2,1.945198,1.945198,0.4347,0.2000,0.0001,0.0001,2.054622,2.054622,0.4169,0.0000,0.0000,0.0000,0.1094,1.6e-03,204.4,33.881144,33.881144,17.281552,17.281552,-16.5996,3.043446e+02,5.951535e+00,4.1e-04,98.24,18.07,91.36,34.59
3,2.384207,2.384207,0.3559,0.0000,0.0000,0.0000,2.744763,2.744763,0.3072,0.0000,0.0000,0.0000,0.3606,2.4e-03,197.2,17.019080,17.019080,14.968986,14.968986,-2.0501,6.465794e+01,1.788175e+00,6.0e-04,100.00,64.22,100.00,70.54
4,2.403920,2.403920,0.3716,0.1000,0.0012,0.0023,2.105701,2.105701,0.4423,0.0000,0.0000,0.0000,-0.2982,3.2e-03,197.8,15.108555,15.108555,14.079318,14.079318,-1.0292,5.032396e+01,8.399284e-01,8.0e-04,100.00,78.91,100.00,63.25
5,2.113894,2.113894,0.4384,0.1667,0.0002,0.0004,1.840621,1.840621,0.4989,0.0000,0.0000,0.0000,-0.2733,4.0e-03,198.5,14.489705,14.489705,12.854440,12.854440,-1.6353,3.975986e+01,5.862425e-01,1.0e-03,100.00,70.23,100.00,58.17
6,2.049967,2.049967,0.4469,0.3636,0.0011,0.0021,1.825755,1.825755,0.4942,0.0000,0.0000,0.0000,-0.2242,4.0e-03,198.1,13.204338,13.204338,11.801961,11.801961,-1.4024,3.446375e+01,2.912692e-01,1.0e-03,100.00,68.90,100.00,53.88
7,2.055110,2.055110,0.4399,0.4826,0.0076,0.0150,1.840861,1.840861,0.4866,0.3333,0.0024,0.0048,-0.2142,4.0e-03,198.1,11.365657,11.365657,10.601512,10.601512,-0.7641,2.822166e+01,2.508020e-01,1.0e-03,100.00,68.92,100.00,59.22
8,1.999210,1.999210,0.4396,0.5402,0.0266,0.0507,1.867964,1.867964,0.4692,0.6667,0.0098,0.0192,-0.1312,4.0e-03,197.9,9.877525,9.877525,9.851398,9.851398,-0.0261,2.507679e+01,2.175557e-01,1.0e-03,100.00,66.89,100.00,63.21
9,3.262700,3.262700,0.2674,0.5273,0.0255,0.0487,3.646242,3.646242,0.1062,0.0000,0.0000,0.0000,0.3835,4.0e-03,196.8,9.011399,9.011399,9.846228,9.846228,0.8348,2.588471e+01,8.969844e-01,1.0e-03,100.00,67.79,100.00,54.86
10,2.478967,2.478967,0.3250,0.0672,0.0048,0.0090,1.836645,1.836645,0.4922,0.0000,0.0000,0.0000,-0.6423,4.0e-03,197.9,12.830940,12.830940,14.783549,14.783549,1.9526,2.783926e+01,5.380816e-01,9.9e-04,100.00,62.51,100.00,51.83
11,1.937737,1.937737,0.4556,0.0726,0.0061,0.0112,1.582096,1.582096,0.5573,0.0000,0.0000,0.0000,-0.3556,4.0e-03,196.5,16.358805,16.358805,16.936736,16.936736,0.5779,2.792951e+01,3.093355e-01,9.9e-04,100.00,68.32,100.00,50.71
12,1.815690,1.815690,0.5043,0.0698,0.0006,0.0012,1.567013,1.567013,0.5733,0.0000,0.0000,0.0000,-0.2487,3.9e-03,196.5,17.927410,17.927410,17.718023,17.718023,-0.2094,2.512687e+01,2.925011e-01,9.9e-04,100.00,69.60,100.00,50.16
13,1.695157,1.695157,0.5378,0.1167,0.0010,0.0019,1.589245,1.589245,0.5624,0.0000,0.0000,0.0000,-0.1059,3.9e-03,196.7,17.232303,17.232303,19.151410,19.151410,1.9191,2.266952e+01,2.234119e-01,9.8e-04,100.00,68.39,100.00,46.74
14,1.659914,1.659914,0.5422,0.0882,0.0002,0.0004,1.571335,1.571335,0.5725,0.0000,0.0000,0.0000,-0.0886,3.9e-03,197.4,16.572663,16.572663,18.930749,18.930749,2.3581,2.096634e+01,1.633112e-01,9.8e-04,100.00,68.17,100.00,52.77
15,1.684759,1.684759,0.5388,0.1053,0.0001,0.0003,1.492119,1.492119,0.5903,0.0000,0.0000,0.0000,-0.1926,3.9e-03,197.1,16.556482,16.556482,16.119509,16.119509,-0.4370,2.091968e+01,1.540712e-01,9.7e-04,100.00,68.70,100.00,48.94
16,1.695750,1.695750,0.5379,0.0000,0.0000,0.0000,1.551636,1.551636,0.5673,0.0000,0.0000,0.0000,-0.1441,3.9e-03,197.2,16.179400,16.179400,18.210433,18.210433,2.0310,1.959757e+01,1.197516e-01,9.7e-04,100.00,69.08,100.00,48.55
17,1.682755,1.682755,0.5389,0.0000,0.0000,0.0000,1.499533,1.499533,0.5839,0.0000,0.0000,0.0000,-0.1832,3.9e-03,196.4,16.596154,16.596154,16.229852,16.229852,-0.3663,1.919539e+01,1.277006e-01,9.6e-04,100.00,66.23,100.00,49.54
18,1.667243,1.667243,0.5406,0.0000,0.0000,0.0000,1.427374,1.427374,0.6000,0.0000,0.0000,0.0000,-0.2399,3.8e-03,196.6,16.502570,16.502570,18.023205,18.023205,1.5206,1.844674e+01,1.165688e-01,9.6e-04,100.00,64.08,100.00,44.60
19,1.682844,1.682844,0.5328,0.0000,0.0000,0.0000,1.561655,1.561655,0.5584,0.0000,0.0000,0.0000,-0.1212,3.8e-03,197.4,16.476321,16.476321,17.420689,17.420689,0.9444,1.835446e+01,1.173880e-01,9.5e-04,100.00,65.02,100.00,48.51
20,1.615974,1.615974,0.5580,0.0000,0.0000,0.0000,1.624323,1.624323,0.5441,0.0000,0.0000,0.0000,0.0083,3.8e-03,197.2,16.821949,16.821949,16.669642,16.669642,-0.1523,1.797236e+01,1.069822e-01,9.4e-04,100.00,65.69,100.00,56.13
21,1.644372,1.644372,0.5465,0.0000,0.0000,0.0000,1.415227,1.415227,0.6038,0.0000,0.0000,0.0000,-0.2291,3.7e-03,198.1,16.916951,16.916951,21.224388,21.224388,4.3074,1.777114e+01,1.033261e-01,9.4e-04,100.00,63.44,100.00,50.22
22,1.656068,1.656068,0.5443,0.0000,0.0000,0.0000,1.589507,1.589507,0.5610,0.0000,0.0000,0.0000,-0.0666,3.7e-03,197.3,16.749843,16.749843,15.868555,15.868555,-0.8813,1.602292e+01,9.296058e-02,9.3e-04,100.00,64.52,100.00,51.99
23,1.670823,1.670823,0.5363,0.0000,0.0000,0.0000,1.615491,1.615491,0.5496,0.0000,0.0000,0.0000,-0.0553,3.7e-03,196.7,16.262208,16.262208,16.817348,16.817348,0.5551,1.655740e+01,8.800408e-02,9.2e-04,100.00,65.10,100.00,56.94
24,1.635685,1.635685,0.5453,0.0000,0.0000,0.0000,1.502929,1.502929,0.5808,0.0000,0.0000,0.0000,-0.1328,3.6e-03,197.1,16.642421,16.642421,17.109599,17.109599,0.4672,1.600056e+01,7.893637e-02,9.1e-04,100.00,62.58,100.00,57.53
25,1.659357,1.659357,0.5374,0.0000,0.0000,0.0000,1.572102,1.572102,0.5535,0.0000,0.0000,0.0000,-0.0873,3.6e-03,197.2,16.176909,16.176909,15.401864,15.401864,-0.7750,1.545710e+01,8.182373e-02,9.0e-04,100.00,64.14,100.00,54.41
