iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
80,24.10,18.8824,24.6666,22.6015,0.2033,1.0e-04,21.46,0.29,10.2
81,22.92,17.8160,24.9178,22.9254,0.2150,1.0e-04,,,10.2
82,23.48,18.3492,24.3993,22.5529,0.2061,1.0e-04,,,10.2
83,24.09,18.8840,24.7477,22.5332,0.2066,1.0e-04,,,10.2
84,23.85,18.6480,24.6413,22.4274,0.2086,1.0e-04,,,10.1
85,23.72,18.4941,23.9592,22.9148,0.2089,1.0e-04,,,10.1
86,23.36,18.1762,23.9969,22.6376,0.2043,1.0e-04,,,10.1
87,23.32,18.1363,24.2258,22.7784,0.1989,1.0e-04,,,10.2
88,24.08,18.8785,24.6058,22.4297,0.2067,1.0e-04,,,10.2
89,24.43,19.1426,24.3527,22.7659,0.2016,1.0e-04,,,10.2
90,24.09,18.7809,23.9184,22.6549,0.1925,1.0e-04,22.66,0.33,10.2
91,24.08,18.7582,24.9547,22.8275,0.1985,1.0e-04,,,10.2
92,23.76,18.4566,24.3293,22.6860,0.1960,1.0e-04,,,10.2
93,24.59,19.2031,24.9115,22.5317,0.1943,1.0e-04,,,10.2
94,24.06,18.6617,24.5682,22.5581,0.1965,1.0e-04,,,10.2
95,24.29,18.8773,23.7989,22.4089,0.1966,1.0e-04,,,10.2
96,24.26,18.8816,23.6424,22.4755,0.1976,1.0e-04,,,10.2
97,23.90,18.6629,24.1074,22.3027,0.1973,1.0e-04,,,10.1
98,24.13,18.8840,24.0563,22.3974,0.1955,1.0e-04,,,10.2
99,23.93,18.6180,24.5888,22.6361,0.1968,1.0e-04,,,10.2
100,23.75,18.4598,24.1070,22.3166,0.1903,1.0e-04,22.86,0.35,10.1
101,23.84,18.5254,24.4945,22.2167,0.1904,1.0e-04,,,10.2
102,23.98,18.5832,25.3633,22.5541,0.1914,1.0e-04,,,10.2
103,25.19,19.7238,24.7199,22.3866,0.1827,1.0e-04,,,10.2
104,24.76,19.3406,24.8102,22.4514,0.1883,1.0e-04,,,10.2
105,24.47,19.0520,24.3176,22.4229,0.1926,1.0e-04,,,10.2
106,23.84,18.4887,23.9430,22.2369,0.1924,1.0e-04,,,10.1
107,25.26,19.8527,24.6013,22.3191,0.1938,1.0e-04,,,10.2
108,23.20,17.9348,22.9653,22.3801,0.1925,1.0e-04,,,10.1
109,24.77,19.3488,24.9990,22.3265,0.1914,1.0e-04,,,10.2
110,24.42,19.0434,23.8977,22.3977,0.1877,1.0e-04,22.57,0.34,10.2
111,25.10,19.6422,24.2112,22.2884,0.1903,1.0e-04,,,10.2
112,24.44,19.0953,24.4114,22.3200,0.1938,1.0e-04,,,10.2
113,24.39,18.9953,23.3832,22.2604,0.1921,1.0e-04,,,10.2
114,23.16,17.8660,24.4176,22.5320,0.1851,1.0e-04,,,10.1
115,25.38,19.9281,24.8467,22.3271,0.1812,1.0e-04,,,10.2
116,25.14,19.6828,24.4702,22.2996,0.1759,1.0e-04,,,10.2
117,25.11,19.7242,24.4882,22.3060,0.1897,1.0e-04,,,10.2
118,23.79,18.5664,23.2287,22.5973,0.1925,1.0e-04,,,10.1
119,24.23,18.9527,22.7056,22.1728,0.1853,1.0e-04,,,10.2
120,23.27,18.0148,23.5878,22.5862,0.1937,1.0e-04,22.46,0.34,10.1
121,23.43,18.1504,22.4804,22.3657,0.1915,1.0e-04,,,10.1
122,23.85,18.5320,23.5604,22.1889,0.1798,1.0e-04,,,10.1
123,23.79,18.4742,23.2279,22.1823,0.1842,1.0e-04,,,10.1
124,24.35,18.9422,23.9633,22.4638,0.1879,1.0e-04,,,10.2
125,25.50,20.0406,24.8965,22.3869,0.1829,1.0e-04,,,10.2
126,23.89,18.4848,22.8520,22.0965,0.1821,1.0e-04,,,10.1
127,23.34,18.0734,23.6096,22.2270,0.1797,1.0e-04,,,10.1
128,24.67,19.2785,24.1434,22.2802,0.1804,1.0e-04,,,10.2
129,24.00,18.6473,24.8551,22.3843,0.1809,1.0e-04,,,10.2
130,23.98,18.6027,23.6351,22.1348,0.1840,1.0e-04,22.43,0.35,10.2
131,24.02,18.7000,23.6166,22.1577,0.1853,1.0e-04,,,10.2
132,24.16,18.7859,24.2902,22.5522,0.1861,1.0e-04,,,10.2
133,23.92,18.7020,22.8112,22.3144,0.1788,1.0e-04,,,10.2
134,24.28,18.9727,22.5872,22.2177,0.1788,1.0e-04,,,10.2
135,23.71,18.4492,23.4909,22.5787,0.1842,1.0e-04,,,10.1
136,24.34,18.9910,23.3497,22.1788,0.1774,1.0e-04,,,10.2
137,24.23,18.8891,23.0963,22.5767,0.1824,1.0e-04,,,10.2
138,23.47,18.2277,24.5150,22.5373,0.1787,1.0e-04,,,10.1
139,23.73,18.4461,24.5612,22.3960,0.1809,1.0e-04,,,10.1
140,23.89,18.5930,25.0180,22.4329,0.1823,1.0e-04,22.29,0.33,10.1
141,24.90,19.5406,23.4921,22.1356,0.1872,1.0e-04,,,10.2
142,23.57,18.3719,24.8775,22.4139,0.1871,1.0e-04,,,10.1
143,24.44,19.1051,24.5056,22.7127,0.1786,1.0e-04,,,10.2
144,23.62,18.4551,22.9132,22.3275,0.1893,1.0e-04,,,10.1
145,23.74,18.4570,23.5216,22.3228,0.1843,1.0e-04,,,10.2
146,24.02,18.7895,23.0164,22.2208,0.1825,1.0e-04,,,10.2
147,23.56,18.2914,22.0342,22.3260,0.1790,1.0e-04,,,10.1
148,23.87,18.5609,24.0571,22.4120,0.1802,1.0e-04,,,10.1
149,25.55,20.1215,24.2512,22.2183,0.1747,1.0e-04,,,10.2
150,24.12,18.7289,23.6453,22.6516,0.1775,1.0e-04,22.47,0.34,10.2
151,24.95,19.5309,22.3130,22.0761,0.1744,1.0e-04,,,10.2
152,24.67,19.3332,23.1309,22.5710,0.1790,1.0e-04,,,10.2
153,23.47,18.2578,22.9424,22.3056,0.1812,1.0e-04,,,10.1
154,24.85,19.4762,23.1482,22.4138,0.1794,1.0e-04,,,10.2
155,23.76,18.4805,23.6877,22.5211,0.1856,1.0e-04,,,10.1
156,23.53,18.2320,22.0624,22.2203,0.1828,1.0e-04,,,10.1
157,23.73,18.4207,22.5953,22.2114,0.1799,1.0e-04,,,10.1
158,25.34,19.8961,23.4078,22.1652,0.1867,1.0e-04,,,10.2
159,24.58,19.2148,23.0551,22.4064,0.1805,1.0e-04,,,10.2
160,22.88,17.6699,23.1182,22.0179,0.1996,1.0e-04,23.26,0.35,10.1
161,23.33,18.0684,23.0952,22.3074,0.1829,1.0e-04,,,10.1
162,25.09,19.7234,24.0948,22.1868,0.1837,1.0e-04,,,10.2
163,24.53,19.1457,24.5938,22.3318,0.1862,1.0e-04,,,10.2
164,23.91,18.5699,24.5355,22.3813,0.1836,1.0e-04,,,10.2
165,24.09,18.6832,23.4725,22.2223,0.1810,1.0e-04,,,10.2
166,24.12,18.7113,23.0189,22.1166,0.1778,1.0e-04,,,10.2
167,25.81,20.2301,23.3554,22.3726,0.1796,1.0e-04,,,10.2
168,24.45,19.0324,23.6686,22.1772,0.1796,1.0e-04,,,10.2
169,23.34,18.0289,23.1188,22.2487,0.1801,1.0e-04,,,10.1
