epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
74,3.970781,3.500985,0.469797,4.078395,3.648332,0.430063,1.4e-03,14.6
75,3.981489,3.508316,0.473174,4.085823,3.593648,0.492175,1.4e-03,14.4
76,3.968821,3.495690,0.473131,3.896557,3.462231,0.434325,1.4e-03,14.3
77,3.950113,3.479340,0.470774,3.980956,3.489418,0.491537,1.4e-03,14.8
78,3.922481,3.461153,0.461328,3.960009,3.476520,0.483488,1.3e-03,14.5
79,3.921820,3.454795,0.467025,3.939181,3.485499,0.453682,1.3e-03,15.9
80,3.885074,3.425274,0.459800,4.119417,3.640177,0.479240,1.3e-03,14.6
81,3.876193,3.418432,0.457760,3.944539,3.512710,0.431829,1.3e-03,14.1
82,3.854645,3.400352,0.454293,4.048065,3.577798,0.470267,1.3e-03,14.3
83,3.847641,3.396018,0.451622,3.885682,3.444813,0.440869,1.3e-03,14.1
84,3.848992,3.390249,0.458743,3.944389,3.448026,0.496363,1.3e-03,16.0
85,3.830194,3.375802,0.454392,3.807213,3.353595,0.453618,1.2e-03,15.8
86,3.818272,3.361501,0.456771,3.809994,3.392933,0.417061,1.2e-03,13.8
87,3.813731,3.360265,0.453466,3.864748,3.408862,0.455887,1.2e-03,14.9
88,3.786665,3.334261,0.452404,3.804571,3.354805,0.449766,1.2e-03,14.7
89,3.782293,3.327809,0.454484,3.735864,3.327805,0.408058,1.2e-03,15.2
90,3.756569,3.310016,0.446552,3.741000,3.302099,0.438902,1.2e-03,14.5
91,3.752186,3.307249,0.444937,3.743323,3.338044,0.405279,1.1e-03,14.5
92,3.752555,3.302670,0.449886,3.802830,3.384374,0.418456,1.1e-03,14.5
93,3.712057,3.272746,0.439311,3.707900,3.251613,0.456287,1.1e-03,14.1
94,3.714384,3.271869,0.442515,3.730732,3.301510,0.429222,1.1e-03,13.6
95,3.703979,3.262620,0.441359,3.662007,3.239785,0.422223,1.1e-03,14.2
96,3.700585,3.256324,0.444262,3.799809,3.327817,0.471992,1.1e-03,13.9
97,3.688785,3.244971,0.443814,3.786369,3.336469,0.449900,1.1e-03,14.8
98,3.676838,3.232219,0.444619,3.758431,3.315087,0.443344,1.0e-03,14.8
99,3.668039,3.226320,0.441720,3.643485,3.217141,0.426345,1.0e-03,14.3
100,3.661474,3.224280,0.437194,3.669152,3.244020,0.425132,1.0e-03,14.3
101,3.640755,3.205978,0.434777,3.729198,3.295475,0.433723,9.9e-04,14.5
102,3.634907,3.197913,0.436995,3.633162,3.218303,0.414858,9.7e-04,14.5
103,3.619699,3.183846,0.435853,3.601517,3.210497,0.391019,9.6e-04,14.8
104,3.597236,3.167309,0.429928,3.578736,3.166069,0.412667,9.4e-04,14.0
105,3.599601,3.161774,0.437827,3.595033,3.176185,0.418848,9.3e-04,14.7
106,3.602191,3.170725,0.431467,3.591073,3.188401,0.402672,9.1e-04,14.4
107,3.576790,3.147861,0.428929,3.705767,3.265314,0.440453,9.0e-04,14.4
108,3.566608,3.137748,0.428860,3.533413,3.131216,0.402197,8.8e-04,14.6
109,3.565302,3.135529,0.429774,3.576338,3.171535,0.404803,8.6e-04,14.4
110,3.558353,3.125108,0.433244,3.598780,3.186684,0.412096,8.5e-04,14.1
111,3.545609,3.109758,0.435851,3.637971,3.214213,0.423757,8.3e-04,14.3
112,3.533962,3.102502,0.431460,3.610899,3.177707,0.433192,8.2e-04,14.4
113,3.519812,3.092720,0.427091,3.529945,3.123515,0.406430,8.0e-04,14.1
114,3.510572,3.084027,0.426544,3.539812,3.134793,0.405019,7.9e-04,14.1
115,3.509468,3.082586,0.426882,3.540280,3.122202,0.418078,7.7e-04,14.2
116,3.491302,3.070534,0.420768,3.545881,3.150144,0.395737,7.6e-04,14.7
117,3.485015,3.062216,0.422799,3.561602,3.132404,0.429198,7.4e-04,14.2
118,3.486187,3.060230,0.425957,3.595985,3.185788,0.410196,7.3e-04,15.1
119,3.468966,3.045858,0.423108,3.558544,3.107506,0.451038,7.1e-04,14.3
120,3.472644,3.048397,0.424248,3.516843,3.098103,0.418740,7.0e-04,14.1
121,3.439306,3.025212,0.414094,3.477658,3.073922,0.403736,6.8e-04,14.3
122,3.448593,3.025881,0.422713,3.404630,3.008319,0.396311,6.7e-04,14.3
123,3.446441,3.023561,0.422880,3.454021,3.052345,0.401677,6.5e-04,14.3
124,3.420892,3.007255,0.413637,3.465932,3.043870,0.422062,6.4e-04,13.6
125,3.423304,3.006483,0.416822,3.424581,3.017596,0.406985,6.2e-04,14.8
126,3.419193,3.000032,0.419161,3.532358,3.137593,0.394764,6.1e-04,14.3
127,3.409786,2.993866,0.415920,3.423871,3.014424,0.409447,6.0e-04,13.9
128,3.398634,2.982831,0.415804,3.476009,3.071897,0.404112,5.8e-04,14.3
129,3.393626,2.977817,0.415809,3.419716,2.997699,0.422017,5.7e-04,14.2
130,3.383951,2.968672,0.415279,3.357823,2.965010,0.392813,5.5e-04,14.4
131,3.388386,2.971335,0.417050,3.421919,2.991026,0.430893,5.4e-04,15.0
132,3.381995,2.963895,0.418100,3.392437,3.013379,0.379059,5.3e-04,14.2
133,3.365545,2.954112,0.411433,3.405025,2.996727,0.408298,5.1e-04,14.3
134,3.365184,2.952885,0.412298,3.340728,2.956364,0.384365,5.0e-04,14.2
135,3.358652,2.942702,0.415950,3.305670,2.917260,0.388411,4.9e-04,14.4
136,3.348932,2.932589,0.416343,3.353291,2.950145,0.403145,4.7e-04,14.3
137,3.330863,2.923029,0.407834,3.325248,2.936883,0.388365,4.6e-04,14.7
138,3.337430,2.925242,0.412188,3.330908,2.953763,0.377144,4.5e-04,13.8
139,3.322281,2.912230,0.410051,3.355354,2.938987,0.416367,4.3e-04,14.8
140,3.326611,2.913306,0.413306,3.328269,2.927353,0.400915,4.2e-04,14.5
141,3.323278,2.911567,0.411711,3.461917,3.058590,0.403327,4.1e-04,14.1
142,3.304428,2.895867,0.408561,3.266209,2.889197,0.377012,4.0e-04,14.4
143,3.305550,2.896301,0.409249,3.374752,2.960223,0.414529,3.8e-04,14.7
144,3.302228,2.892374,0.409854,3.268776,2.899501,0.369275,3.7e-04,14.7
145,3.295136,2.885770,0.409365,3.311015,2.921620,0.389395,3.6e-04,14.2
146,3.285039,2.878989,0.406050,3.286980,2.872469,0.414511,3.5e-04,14.2
147,3.278045,2.869582,0.408463,3.272424,2.876567,0.395856,3.4e-04,14.2
148,3.273234,2.867181,0.406054,3.340574,2.943718,0.396856,3.2e-04,13.6
149,3.271051,2.863657,0.407393,3.262704,2.873073,0.389631,3.1e-04,14.0
150,3.258380,2.854416,0.403964,3.232961,2.853991,0.378970,3.0e-04,14.5
151,3.274765,2.867579,0.407186,3.267160,2.873422,0.393738,2.9e-04,14.3
152,3.263166,2.855327,0.407839,3.263054,2.862342,0.400712,2.8e-04,14.5
153,3.248195,2.842644,0.405551,3.229704,2.841645,0.388060,2.7e-04,14.0
154,3.241539,2.839945,0.401594,3.208958,2.842489,0.366469,2.6e-04,14.5
155,3.243596,2.839184,0.404412,3.189846,2.825107,0.364738,2.5e-04,14.2
156,3.235042,2.831114,0.403928,3.247574,2.850012,0.397562,2.4e-04,14.9
157,3.221387,2.822229,0.399158,3.234635,2.849005,0.385630,2.3e-04,14.2
