epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
94,1.598454,0.425950,-3.777289,1.563899,5.5e-04,94.6
95,1.593454,0.424625,-3.775630,1.588105,5.4e-04,94.4
96,1.593420,0.424703,-3.776101,1.576474,5.4e-04,94.5
97,1.593053,0.423769,-3.774897,1.635834,5.3e-04,94.4
98,1.588703,0.424184,-3.774713,1.569064,5.2e-04,94.3
99,1.588026,0.424511,-3.776103,1.575222,5.1e-04,94.4
100,1.581886,0.423314,-3.774464,1.600039,5.0e-04,94.4
101,1.581502,0.421987,-3.774722,1.589133,5.0e-04,94.5
102,1.574612,0.423198,-3.776817,1.603773,4.9e-04,94.3
103,1.574197,0.424831,-3.777822,1.622374,4.8e-04,94.6
104,1.570436,0.423584,-3.776601,1.644190,4.7e-04,94.5
105,1.567378,0.423517,-3.778119,1.599451,4.7e-04,94.5
106,1.566660,0.423832,-3.777293,1.584458,4.6e-04,94.4
107,1.563173,0.424145,-3.778025,1.553395,4.5e-04,94.5
108,1.561502,0.424455,-3.777991,1.615862,4.4e-04,94.5
109,1.559631,0.422087,-3.775800,1.547703,4.4e-04,94.6
110,1.556805,0.423000,-3.778277,1.635166,4.3e-04,94.7
111,1.554252,0.423138,-3.778421,1.532999,4.2e-04,94.5
112,1.551433,0.422796,-3.777977,1.552304,4.1e-04,94.4
113,1.551078,0.423314,-3.777885,1.574934,4.0e-04,94.7
114,1.548521,0.422557,-3.778746,1.542974,4.0e-04,94.5
115,1.543715,0.422947,-3.778417,1.531266,3.9e-04,94.3
116,1.541572,0.422751,-3.778204,1.528795,3.8e-04,94.5
117,1.540452,0.423662,-3.779120,1.528521,3.7e-04,94.3
118,1.541450,0.424079,-3.779030,1.563146,3.7e-04,94.3
119,1.537105,0.422062,-3.777874,1.512992,3.6e-04,94.3
120,1.534836,0.424290,-3.779221,1.527017,3.5e-04,94.2
121,1.533488,0.421911,-3.778095,1.533212,3.4e-04,94.3
122,1.531202,0.423064,-3.778878,1.546702,3.4e-04,94.5
