epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
36,2.561184,2.525267,0.2971,0.7733,0.7877,0.7804,0.3592,2.590494,2.560933,0.2990,0.5052,0.8063,0.6212,0.2956,0.0293,1.9e-03,101.5
37,2.541093,2.504988,0.3006,0.7940,0.7998,0.7969,0.3611,2.554031,2.522640,0.3048,0.5876,0.7575,0.6618,0.3139,0.0129,1.9e-03,102.1
38,2.568271,2.531219,0.2960,0.7713,0.8005,0.7856,0.3705,2.590909,2.560672,0.2977,0.6845,0.6621,0.6731,0.3024,0.0226,1.9e-03,101.5
39,2.551708,2.515497,0.3003,0.7256,0.8157,0.7680,0.3621,2.602158,2.572492,0.2935,0.3566,0.9034,0.5114,0.2967,0.0504,1.9e-03,102.2
40,2.530424,2.494325,0.3025,0.7453,0.8014,0.7724,0.3610,2.581139,2.551233,0.2980,0.6374,0.7425,0.6860,0.2991,0.0507,1.9e-03,101.5
41,2.504604,2.469391,0.3085,0.6706,0.8203,0.7379,0.3521,2.546679,2.517387,0.3061,0.7899,0.6006,0.6823,0.2929,0.0421,1.8e-03,102.0
42,2.489471,2.453969,0.3116,0.7532,0.8020,0.7768,0.3550,2.577255,2.546623,0.2997,0.5737,0.7937,0.6660,0.3063,0.0878,1.8e-03,101.4
43,2.505985,2.470497,0.3090,0.7250,0.8221,0.7705,0.3549,2.556933,2.525965,0.3033,0.5992,0.7655,0.6722,0.3097,0.0509,1.8e-03,102.0
44,2.513627,2.477718,0.3074,0.7696,0.8138,0.7911,0.3591,2.559895,2.530995,0.3027,0.8917,0.3644,0.5173,0.2890,0.0463,1.8e-03,101.4
45,2.488057,2.452597,0.3115,0.7566,0.8157,0.7851,0.3546,2.566463,2.536603,0.3025,0.6300,0.7494,0.6845,0.2986,0.0784,1.8e-03,102.0
46,2.491180,2.455752,0.3120,0.8052,0.7969,0.8010,0.3543,2.571007,2.541789,0.3016,0.5862,0.7914,0.6735,0.2922,0.0798,1.8e-03,101.4
47,2.484312,2.449097,0.3135,0.8141,0.8113,0.8127,0.3522,2.565605,2.535351,0.3020,0.5932,0.7753,0.6721,0.3025,0.0813,1.8e-03,102.0
48,2.481560,2.446023,0.3145,0.8042,0.8203,0.8122,0.3554,2.543973,2.514837,0.3051,0.5765,0.8098,0.6735,0.2914,0.0624,1.8e-03,101.4
49,2.467064,2.431862,0.3182,0.8024,0.8232,0.8127,0.3520,2.503843,2.475192,0.3141,0.5523,0.8379,0.6658,0.2865,0.0368,1.8e-03,102.0
50,2.469361,2.434138,0.3174,0.7868,0.8238,0.8049,0.3522,2.547660,2.518946,0.3059,0.6033,0.7753,0.6786,0.2871,0.0783,1.8e-03,101.4
51,2.469514,2.433639,0.3169,0.7990,0.8264,0.8125,0.3587,2.535515,2.506442,0.3066,0.7077,0.7000,0.7038,0.2907,0.0660,1.8e-03,102.0
52,2.470219,2.433984,0.3179,0.8146,0.8193,0.8169,0.3624,2.547208,2.515362,0.3041,0.4406,0.8931,0.5901,0.3185,0.0770,1.7e-03,102.0
53,2.464214,2.427693,0.3196,0.8215,0.8221,0.8218,0.3652,2.502746,2.473847,0.3131,0.6221,0.7684,0.6876,0.2890,0.0385,1.7e-03,101.5
54,2.449971,2.414033,0.3214,0.7906,0.8087,0.7996,0.3594,2.507769,2.477468,0.3139,0.6385,0.7684,0.6974,0.3030,0.0578,1.7e-03,102.0
55,2.457253,2.421447,0.3213,0.8125,0.8214,0.8170,0.3581,2.503629,2.474716,0.3132,0.6125,0.7822,0.6870,0.2891,0.0464,1.7e-03,101.5
56,2.457255,2.421205,0.3206,0.8008,0.8284,0.8143,0.3605,2.497982,2.467359,0.3173,0.6655,0.7557,0.7078,0.3062,0.0407,1.7e-03,101.8
57,2.444322,2.408381,0.3240,0.8088,0.8315,0.8200,0.3594,2.485435,2.456448,0.3185,0.6557,0.7759,0.7107,0.2899,0.0411,1.7e-03,101.4
58,2.417990,2.382287,0.3299,0.8101,0.8344,0.8220,0.3570,2.482347,2.452401,0.3194,0.6206,0.8178,0.7057,0.2995,0.0644,1.7e-03,101.9
59,2.450387,2.414364,0.3241,0.8001,0.8339,0.8166,0.3602,2.524786,2.495556,0.3085,0.6622,0.7718,0.7128,0.2923,0.0744,1.7e-03,101.4
60,2.436692,2.401013,0.3255,0.8190,0.8277,0.8233,0.3568,2.491574,2.462308,0.3166,0.5649,0.8351,0.6739,0.2927,0.0549,1.7e-03,101.9
61,2.423025,2.387505,0.3288,0.8174,0.8284,0.8229,0.3552,2.483267,2.452694,0.3186,0.6696,0.7989,0.7285,0.3057,0.0602,1.6e-03,101.6
62,2.422684,2.387060,0.3296,0.8303,0.8266,0.8284,0.3562,2.502034,2.472030,0.3129,0.5861,0.8333,0.6882,0.3000,0.0793,1.6e-03,101.9
63,2.423422,2.387648,0.3290,0.8201,0.8284,0.8242,0.3577,2.526336,2.495563,0.3092,0.5631,0.8253,0.6695,0.3077,0.1029,1.6e-03,101.5
64,2.424005,2.388475,0.3293,0.8175,0.8381,0.8277,0.3553,2.517985,2.488734,0.3100,0.5207,0.8764,0.6532,0.2925,0.0940,1.6e-03,101.9
65,2.430108,2.394257,0.3286,0.8122,0.8377,0.8247,0.3585,2.463913,2.433388,0.3223,0.6019,0.8230,0.6953,0.3053,0.0338,1.6e-03,101.5
