epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
35,3.199523,2.670129,0.2596,0.8263,0.7405,0.7810,0.5294,3.063358,2.528539,0.2854,0.5824,0.8020,0.6747,0.5348,-0.1362,3.8e-03,172.8
36,3.193846,2.661134,0.2610,0.8269,0.7501,0.7866,0.5327,2.994293,2.517675,0.2877,0.5679,0.8380,0.6770,0.4766,-0.1996,3.8e-03,172.8
37,3.186982,2.659781,0.2613,0.8325,0.7549,0.7918,0.5272,3.018190,2.518969,0.2870,0.5845,0.8371,0.6883,0.4992,-0.1688,3.8e-03,172.8
38,3.146748,2.648458,0.2631,0.8337,0.7646,0.7977,0.4983,2.989252,2.505132,0.2892,0.5823,0.8473,0.6902,0.4841,-0.1575,3.8e-03,173.8
39,3.142247,2.645855,0.2636,0.8375,0.7611,0.7975,0.4964,3.007025,2.513776,0.2890,0.5256,0.8761,0.6570,0.4932,-0.1352,3.7e-03,172.8
40,3.154267,2.644412,0.2637,0.8365,0.7581,0.7954,0.5099,2.987651,2.506692,0.2903,0.6351,0.7795,0.7000,0.4810,-0.1666,3.7e-03,172.9
41,3.154911,2.640704,0.2644,0.8403,0.7676,0.8023,0.5142,2.983814,2.498996,0.2905,0.5424,0.8541,0.6635,0.4848,-0.1711,3.7e-03,173.0
42,3.164243,2.637253,0.2651,0.8362,0.7701,0.8018,0.5270,2.999029,2.496698,0.2908,0.6450,0.8029,0.7153,0.5023,-0.1652,3.7e-03,172.8
43,3.128630,2.626324,0.2670,0.8369,0.7700,0.8020,0.5023,2.963150,2.486786,0.2935,0.6004,0.8327,0.6977,0.4764,-0.1655,3.7e-03,173.9
44,3.116841,2.621366,0.2678,0.8380,0.7726,0.8040,0.4955,2.962822,2.489650,0.2927,0.5512,0.8566,0.6707,0.4732,-0.1540,3.7e-03,172.8
45,3.116829,2.619006,0.2682,0.8381,0.7723,0.8039,0.4978,2.948102,2.482961,0.2936,0.6482,0.8063,0.7187,0.4651,-0.1687,3.6e-03,172.8
46,3.084461,2.610324,0.2697,0.8434,0.7767,0.8087,0.4741,2.945013,2.484541,0.2938,0.5984,0.8351,0.6972,0.4605,-0.1394,3.6e-03,172.8
47,3.065395,2.602827,0.2712,0.8462,0.7923,0.8183,0.4626,2.930277,2.481096,0.2947,0.5337,0.8698,0.6615,0.4492,-0.1351,3.6e-03,173.8
48,3.059691,2.599636,0.2714,0.8492,0.7852,0.8159,0.4601,2.938722,2.472630,0.2950,0.6074,0.8376,0.7041,0.4661,-0.1210,3.6e-03,172.8
49,3.069227,2.598418,0.2717,0.8410,0.7823,0.8106,0.4708,2.954445,2.481207,0.2945,0.6382,0.8063,0.7125,0.4732,-0.1148,3.6e-03,172.8
50,3.076448,2.597073,0.2719,0.8453,0.7900,0.8167,0.4794,2.949059,2.476169,0.2951,0.5550,0.8741,0.6789,0.4729,-0.1274,3.6e-03,172.8
51,3.063875,2.592012,0.2726,0.8491,0.7891,0.8180,0.4719,2.933581,2.469947,0.2970,0.5032,0.8941,0.6439,0.4636,-0.1303,3.5e-03,172.8
52,3.055794,2.586569,0.2735,0.8515,0.7943,0.8219,0.4692,2.946987,2.465581,0.2966,0.6726,0.8117,0.7356,0.4814,-0.1088,3.5e-03,173.7
53,3.059926,2.583514,0.2740,0.8484,0.7864,0.8162,0.4764,2.952468,2.466730,0.2976,0.6133,0.8624,0.7168,0.4857,-0.1075,3.5e-03,172.8
54,3.079418,2.587763,0.2734,0.8522,0.7986,0.8245,0.4917,2.940581,2.464697,0.2970,0.5464,0.8898,0.6771,0.4759,-0.1388,3.5e-03,172.8
55,3.081763,2.583831,0.2741,0.8496,0.7969,0.8224,0.4979,3.000030,2.466932,0.2967,0.6728,0.8015,0.7315,0.5331,-0.0817,3.5e-03,172.8
56,3.072693,2.579282,0.2746,0.8507,0.7999,0.8245,0.4934,2.955263,2.461719,0.2980,0.5573,0.8878,0.6847,0.4935,-0.1174,3.4e-03,173.7
57,3.057513,2.576008,0.2755,0.8530,0.7983,0.8247,0.4815,2.929909,2.456855,0.2981,0.5313,0.8868,0.6645,0.4731,-0.1276,3.4e-03,172.8
58,3.060401,2.572005,0.2762,0.8533,0.8007,0.8262,0.4884,2.946917,2.457629,0.2991,0.5542,0.8810,0.6804,0.4893,-0.1135,3.4e-03,172.8
59,3.063369,2.571757,0.2760,0.8546,0.8023,0.8276,0.4916,2.936322,2.452531,0.2990,0.6206,0.8449,0.7156,0.4838,-0.1270,3.4e-03,172.8
60,3.060862,2.569943,0.2766,0.8531,0.8004,0.8259,0.4909,2.911780,2.453952,0.3004,0.5705,0.8859,0.6941,0.4578,-0.1491,3.4e-03,172.8
61,3.035510,2.564075,0.2777,0.8543,0.8016,0.8271,0.4714,2.918258,2.449042,0.2996,0.5262,0.9049,0.6655,0.4692,-0.1173,3.3e-03,173.7
62,3.045806,2.563543,0.2777,0.8546,0.8041,0.8286,0.4823,2.927680,2.450118,0.3002,0.5838,0.8698,0.6987,0.4776,-0.1181,3.3e-03,172.8
63,3.040122,2.561300,0.2779,0.8563,0.8051,0.8299,0.4788,2.919823,2.449664,0.3000,0.6312,0.8600,0.7281,0.4702,-0.1203,3.3e-03,172.8
64,3.048034,2.560893,0.2780,0.8546,0.8054,0.8293,0.4871,2.911820,2.445283,0.3004,0.6453,0.8395,0.7297,0.4665,-0.1362,3.3e-03,172.9
65,3.034649,2.557257,0.2788,0.8559,0.8006,0.8273,0.4774,2.917062,2.446263,0.3011,0.6849,0.8302,0.7506,0.4708,-0.1176,3.2e-03,173.9
66,3.030427,2.553275,0.2794,0.8532,0.8045,0.8281,0.4772,2.898043,2.440118,0.3019,0.6717,0.8283,0.7418,0.4579,-0.1324,3.2e-03,172.8
67,3.032694,2.550881,0.2797,0.8582,0.8092,0.8330,0.4818,2.904635,2.437277,0.3021,0.5479,0.8932,0.6792,0.4674,-0.1281,3.2e-03,172.8
68,3.020234,2.543852,0.2808,0.8595,0.8080,0.8330,0.4764,2.925314,2.439555,0.3021,0.6545,0.8512,0.7400,0.4858,-0.0949,3.2e-03,172.8
69,3.031344,2.544335,0.2809,0.8580,0.8022,0.8292,0.4870,2.899961,2.431981,0.3034,0.5430,0.9093,0.6799,0.4680,-0.1314,3.1e-03,172.8
70,3.007037,2.538845,0.2818,0.8569,0.8123,0.8340,0.4682,2.900319,2.433930,0.3029,0.6825,0.8400,0.7531,0.4664,-0.1067,3.1e-03,173.7
71,3.021569,2.539735,0.2818,0.8562,0.8163,0.8358,0.4818,2.899045,2.435649,0.3029,0.5525,0.8932,0.6827,0.4634,-0.1225,3.1e-03,172.8
72,3.032741,2.540502,0.2817,0.8583,0.8112,0.8341,0.4922,2.903189,2.433567,0.3029,0.6183,0.8693,0.7226,0.4696,-0.1296,3.1e-03,172.8
73,3.025711,2.538163,0.2821,0.8578,0.8101,0.8333,0.4875,2.933154,2.438643,0.3019,0.6129,0.8595,0.7155,0.4945,-0.0926,3.1e-03,172.8
74,3.027236,2.538898,0.2819,0.8575,0.8123,0.8343,0.4883,2.943338,2.439169,0.3016,0.6129,0.8727,0.7201,0.5042,-0.0839,3.0e-03,173.7
75,3.021318,2.533095,0.2829,0.8586,0.8146,0.8360,0.4882,2.906135,2.433558,0.3039,0.5749,0.8878,0.6979,0.4726,-0.1152,3.0e-03,172.8
76,3.002700,2.528738,0.2838,0.8606,0.8188,0.8392,0.4740,2.904324,2.431714,0.3040,0.5749,0.8839,0.6967,0.4726,-0.0984,3.0e-03,172.8
77,3.003393,2.526995,0.2840,0.8640,0.8200,0.8414,0.4764,2.905235,2.435828,0.3031,0.5853,0.8834,0.7041,0.4694,-0.0982,2.9e-03,172.8
78,2.993581,2.523381,0.2846,0.8620,0.8150,0.8378,0.4702,2.892307,2.428642,0.3049,0.6298,0.8756,0.7327,0.4637,-0.1013,2.9e-03,172.8
