epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
21,4.184828,2.245593,0.3827,0.6420,0.2518,0.3618,1.9392,4.318712,2.119538,0.4129,0.4729,0.2341,0.3132,2.1992,0.1339,9.8e-04,88.9,5.090672,5.090672,5.124386,5.124386,0.0337,2.502256e+01,2.502256e+01,,100.00,70.68,100.00,61.07
22,4.138483,2.236982,0.3833,0.6456,0.2932,0.4032,1.9015,4.194224,2.091326,0.4177,0.4462,0.2024,0.2785,2.1029,0.0557,9.8e-04,88.9,5.041433,5.041433,4.733013,4.733013,-0.3084,2.552797e+01,2.552797e+01,,100.00,70.06,100.00,63.48
23,4.083446,2.191597,0.3953,0.6535,0.2904,0.4021,1.8918,4.044926,2.041883,0.4344,0.4112,0.4122,0.4117,2.0030,-0.0385,9.8e-04,88.8,4.993131,4.993131,4.606978,4.606978,-0.3862,2.414581e+01,2.414581e+01,,100.00,68.63,100.00,67.56
24,4.122842,2.210818,0.3907,0.6386,0.2982,0.4066,1.9120,4.550042,2.032020,0.4329,0.4463,0.3341,0.3821,2.5180,0.4272,9.8e-04,88.4,5.050689,5.050689,4.896566,4.896566,-0.1541,2.419604e+01,2.419604e+01,,100.00,68.17,100.00,57.37
25,4.057444,2.162575,0.4031,0.6657,0.3135,0.4263,1.8949,4.752979,2.177814,0.4022,0.4133,0.3951,0.4040,2.5752,0.6955,9.8e-04,88.8,5.048987,5.048987,5.535237,5.535237,0.4863,2.590637e+01,2.590637e+01,,100.00,68.66,100.00,75.31
26,4.084562,2.156907,0.4037,0.6474,0.3182,0.4267,1.9277,4.269956,2.045275,0.4290,0.4524,0.2317,0.3065,2.2247,0.1854,9.7e-04,88.6,5.142392,5.142392,5.013308,5.013308,-0.1291,2.558689e+01,2.558689e+01,,100.00,67.17,100.00,64.76
27,4.074027,2.125994,0.4139,0.6328,0.3095,0.4157,1.9480,4.144438,1.944449,0.4547,0.5329,0.1976,0.2883,2.2000,0.0704,9.7e-04,88.7,5.401507,5.401507,5.335884,5.335884,-0.0656,2.452401e+01,2.452401e+01,,100.00,67.07,100.00,57.94
28,3.884882,1.955291,0.4470,0.6521,0.3240,0.4329,1.9296,3.834698,1.766089,0.4861,0.4505,0.3439,0.3900,2.0686,-0.0502,9.7e-04,88.3,5.505916,5.505916,5.112017,5.112017,-0.3939,2.435271e+01,2.435271e+01,,100.00,63.30,100.00,55.00
29,3.746028,1.869486,0.4614,0.6551,0.3439,0.4510,1.8765,3.797804,1.669259,0.5084,0.4344,0.4439,0.4391,2.1285,0.0518,9.6e-04,88.5,5.348813,5.348813,4.940998,4.940998,-0.4078,2.411370e+01,2.411370e+01,,100.00,59.63,100.00,49.11
30,3.701208,1.839444,0.4658,0.6647,0.3580,0.4654,1.8618,3.567976,1.672417,0.5024,0.3776,0.4366,0.4050,1.8956,-0.1332,9.6e-04,88.8,5.301785,5.301785,5.000065,5.000065,-0.3017,2.537928e+01,2.537928e+01,,100.00,57.91,100.00,56.15
31,3.602147,1.778781,0.4766,0.6781,0.3720,0.4804,1.8234,3.611958,1.650908,0.5024,0.4229,0.4415,0.4320,1.9611,0.0098,9.6e-04,88.8,5.215086,5.215086,4.830981,4.830981,-0.3841,2.453296e+01,2.453296e+01,,100.00,54.77,100.00,51.14
32,3.558507,1.751277,0.4810,0.6752,0.3799,0.4862,1.8072,3.601539,1.676470,0.5021,0.5714,0.3024,0.3955,1.9251,0.0430,9.6e-04,88.4,5.118241,5.118241,4.966881,4.966881,-0.1514,2.375037e+01,2.375037e+01,,100.00,53.38,100.00,52.21
33,3.554730,1.746183,0.4833,0.6934,0.4008,0.5080,1.8085,3.420719,1.621369,0.5064,0.4160,0.4829,0.4470,1.7994,-0.1340,9.5e-04,88.5,5.142861,5.142861,4.909996,4.909996,-0.2329,2.376651e+01,2.376651e+01,,100.00,54.15,100.00,49.80
34,3.534113,1.718779,0.4871,0.6967,0.4220,0.5256,1.8153,3.740888,1.603684,0.5209,0.4132,0.5634,0.4768,2.1372,0.2068,9.5e-04,88.6,5.096003,5.096003,4.718405,4.718405,-0.3776,2.176753e+01,2.176753e+01,,100.00,50.78,100.00,47.42
35,3.458820,1.703178,0.4899,0.6994,0.4127,0.5191,1.7556,3.355608,1.547639,0.5300,0.5871,0.2878,0.3863,1.8080,-0.1032,9.5e-04,88.3,4.975045,4.975045,4.682847,4.682847,-0.2922,2.004330e+01,2.004330e+01,,100.00,49.99,100.00,45.36
36,3.406753,1.684737,0.4957,0.7008,0.4179,0.5236,1.7220,3.242778,1.498823,0.5399,0.4215,0.5366,0.4721,1.7440,-0.1640,9.4e-04,88.4,5.039702,5.039702,4.632832,4.632832,-0.4069,2.123922e+01,2.123922e+01,,100.00,49.17,100.00,41.97
37,3.353309,1.667116,0.4977,0.7006,0.4247,0.5288,1.6862,3.555335,1.628315,0.5097,0.3577,0.6561,0.4630,1.9270,0.2020,9.4e-04,88.4,4.928529,4.928529,4.828557,4.828557,-0.1000,1.896576e+01,1.896576e+01,,100.00,49.21,100.00,48.03
38,3.393239,1.686120,0.4956,0.7068,0.4363,0.5396,1.7071,3.383259,1.560291,0.5258,0.4126,0.5585,0.4746,1.8230,-0.0100,9.3e-04,88.3,5.024025,5.024025,4.874067,4.874067,-0.1500,2.126461e+01,2.126461e+01,,100.00,50.14,100.00,44.87
39,3.312603,1.634157,0.5057,0.7158,0.4482,0.5512,1.6784,3.379039,1.544224,0.5322,0.4045,0.5268,0.4576,1.8348,0.0664,9.3e-04,88.6,4.942315,4.942315,4.628697,4.628697,-0.3136,2.031411e+01,2.031411e+01,,100.00,47.22,100.00,45.62
40,3.228306,1.600171,0.5124,0.7176,0.4483,0.5519,1.6281,3.360436,1.475950,0.5419,0.5067,0.3707,0.4282,1.8845,0.1321,9.3e-04,88.2,4.870386,4.870386,4.556515,4.556515,-0.3139,1.872204e+01,1.872204e+01,,100.00,44.64,100.00,40.42
41,3.213890,1.593703,0.5131,0.7290,0.4759,0.5758,1.6202,3.360932,1.474455,0.5444,0.5408,0.4683,0.5020,1.8865,0.1470,9.2e-04,88.6,4.886979,4.886979,4.593442,4.593442,-0.2935,2.016836e+01,2.016836e+01,,100.00,44.38,100.00,40.79
42,3.201325,1.574274,0.5176,0.7212,0.4770,0.5743,1.6271,3.320252,1.474753,0.5460,0.4403,0.5488,0.4886,1.8455,0.1189,9.2e-04,87.7,4.825587,4.825587,4.594660,4.594660,-0.2309,1.718959e+01,1.718959e+01,,100.00,43.58,100.00,40.50
43,3.206469,1.581262,0.5167,0.7299,0.4707,0.5723,1.6252,3.236248,1.477183,0.5428,0.4076,0.6244,0.4933,1.7591,0.0298,9.1e-04,88.7,4.826580,4.826580,4.442552,4.442552,-0.3840,1.867561e+01,1.867561e+01,,100.00,43.41,100.00,41.68
44,3.204202,1.579332,0.5180,0.7301,0.4777,0.5775,1.6249,3.364424,1.530381,0.5306,0.4252,0.6171,0.5035,1.8340,0.1602,9.1e-04,88.5,4.815545,4.815545,4.520877,4.520877,-0.2947,1.747547e+01,1.747547e+01,,100.00,43.35,100.00,45.14
45,3.196733,1.593255,0.5136,0.7386,0.4955,0.5931,1.6035,3.420659,1.508111,0.5335,0.4353,0.6317,0.5154,1.9125,0.2239,9.0e-04,88.9,4.786291,4.786291,4.570451,4.570451,-0.2158,1.738686e+01,1.738686e+01,,100.00,43.85,100.00,43.02
46,3.232431,1.594111,0.5137,0.7386,0.5124,0.6050,1.6383,3.344671,1.530387,0.5320,0.5636,0.4537,0.5027,1.8143,0.1122,9.0e-04,89.7,4.831606,4.831606,4.609197,4.609197,-0.2224,1.775844e+01,1.775844e+01,,100.00,44.00,100.00,45.78
47,3.121525,1.517151,0.5311,0.7420,0.5166,0.6091,1.6044,3.021344,1.379903,0.5656,0.6165,0.4195,0.4993,1.6414,-0.1002,9.0e-04,87.8,4.818678,4.818678,4.477668,4.477668,-0.3410,1.728536e+01,1.728536e+01,,100.00,40.87,100.00,36.86
48,3.124924,1.514453,0.5308,0.7303,0.5124,0.6022,1.6105,3.027830,1.358104,0.5694,0.4905,0.5683,0.5266,1.6697,-0.0971,8.9e-04,89.0,4.775880,4.775880,4.636320,4.636320,-0.1396,1.764600e+01,1.764600e+01,,100.00,40.26,100.00,33.85
49,3.041759,1.463369,0.5416,0.7445,0.5182,0.6111,1.5784,3.022454,1.398692,0.5576,0.5630,0.5122,0.5364,1.6238,-0.0193,8.9e-04,88.8,4.689572,4.689572,4.419949,4.419949,-0.2696,1.661482e+01,1.661482e+01,,100.00,37.95,100.00,38.41
50,3.089186,1.508029,0.5317,0.7580,0.5262,0.6212,1.5812,3.026428,1.382167,0.5639,0.4875,0.6195,0.5456,1.6443,-0.0628,8.8e-04,88.9,4.690866,4.690866,4.541161,4.541161,-0.1497,1.685705e+01,1.685705e+01,,100.00,39.97,100.00,37.15
51,3.070432,1.496474,0.5346,0.7506,0.5331,0.6234,1.5740,3.065809,1.398875,0.5607,0.4152,0.6927,0.5192,1.6669,-0.0046,8.8e-04,88.7,4.665254,4.665254,4.451604,4.451604,-0.2137,1.608055e+01,1.608055e+01,,100.00,40.42,100.00,39.34
52,3.069218,1.491794,0.5356,0.7517,0.5487,0.6343,1.5774,3.338028,1.405767,0.5585,0.6000,0.4756,0.5306,1.9323,0.2688,8.7e-04,88.6,4.670867,4.670867,4.524874,4.524874,-0.1460,1.719626e+01,1.719626e+01,,100.00,39.27,100.00,36.62
53,3.072514,1.474766,0.5392,0.7635,0.5531,0.6415,1.5977,3.209051,1.367647,0.5664,0.5615,0.5902,0.5755,1.8414,0.1365,8.6e-04,89.5,4.657377,4.657377,4.413381,4.413381,-0.2440,1.784839e+01,1.784839e+01,,100.00,37.84,100.00,34.41
54,3.067371,1.483536,0.5379,0.7625,0.5484,0.6380,1.5838,3.153729,1.388493,0.5619,0.4242,0.7098,0.5310,1.7652,0.0864,8.6e-04,87.7,4.646719,4.646719,4.315501,4.315501,-0.3312,1.592054e+01,1.592054e+01,,100.00,38.79,100.00,36.83
55,3.001270,1.452396,0.5447,0.7505,0.5587,0.6405,1.5489,3.099721,1.364740,0.5664,0.5056,0.6659,0.5747,1.7350,0.0985,8.5e-04,88.7,4.599617,4.599617,4.332873,4.332873,-0.2667,1.504950e+01,1.504950e+01,,100.00,37.66,100.00,36.42
