epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
92,2.788886,1.366701,0.5593,0.8022,0.6542,0.7207,1.4222,3.115473,1.258929,0.5877,0.6216,0.6732,0.6464,1.8565,0.3266,6.0e-04,88.5,3.680791,3.680791,3.582879,3.582879,-0.0979,1.100292e+01,1.100292e+01,,100.00,35.20,100.00,30.64
93,2.747987,1.333932,0.5664,0.8137,0.6671,0.7331,1.4141,3.061410,1.257057,0.5873,0.6765,0.6122,0.6428,1.8044,0.3134,6.0e-04,88.3,3.638066,3.638066,3.492700,3.492700,-0.1454,1.109523e+01,1.109523e+01,,100.00,34.25,100.00,32.57
94,2.771130,1.358242,0.5603,0.8133,0.6717,0.7357,1.4129,2.836288,1.282174,0.5813,0.5815,0.7220,0.6442,1.5541,0.0652,5.9e-04,88.5,3.626198,3.626198,3.460116,3.460116,-0.1661,1.076871e+01,1.076871e+01,,100.00,36.11,100.00,34.14
95,2.768761,1.362876,0.5583,0.8115,0.6690,0.7334,1.4059,2.984948,1.287522,0.5796,0.7248,0.5780,0.6431,1.6974,0.2162,5.8e-04,88.4,3.596678,3.596678,3.505034,3.505034,-0.0916,1.021581e+01,1.021581e+01,,100.00,35.69,100.00,32.70
96,2.752652,1.355249,0.5598,0.8220,0.6803,0.7445,1.3974,2.976032,1.243022,0.5911,0.5375,0.7341,0.6206,1.7330,0.2234,5.7e-04,88.5,3.619597,3.619597,3.475618,3.475618,-0.1440,1.168736e+01,1.168736e+01,,100.00,35.10,100.00,31.11
97,2.683763,1.317361,0.5680,0.8168,0.6673,0.7345,1.3664,2.850936,1.234239,0.5920,0.5331,0.7463,0.6220,1.6167,0.1672,5.7e-04,88.2,3.556307,3.556307,3.393929,3.393929,-0.1624,1.093914e+01,1.093914e+01,,100.00,34.23,100.00,32.14
98,2.669473,1.312668,0.5680,0.8134,0.6754,0.7380,1.3568,3.059265,1.229646,0.5944,0.5684,0.7293,0.6389,1.8296,0.3898,5.6e-04,88.6,3.536556,3.536556,3.403327,3.403327,-0.1332,9.449314e+00,9.449314e+00,,100.00,33.69,100.00,30.82
99,2.674200,1.316217,0.5675,0.8143,0.6763,0.7389,1.3580,3.057119,1.276260,0.5830,0.5858,0.6829,0.6306,1.7809,0.3829,5.5e-04,88.7,3.486731,3.486731,3.420042,3.420042,-0.0667,9.162724e+00,9.162724e+00,,100.00,34.19,100.00,32.16
100,2.707663,1.329909,0.5639,0.8132,0.6791,0.7401,1.3778,3.156119,1.236533,0.5936,0.5500,0.7512,0.6351,1.9196,0.4485,5.4e-04,88.8,3.488122,3.488122,3.391975,3.391975,-0.0961,9.550573e+00,9.550573e+00,,100.00,34.83,100.00,30.32
101,2.679512,1.314831,0.5675,0.8188,0.6815,0.7439,1.3647,3.148993,1.235268,0.5919,0.6439,0.6659,0.6547,1.9137,0.4695,5.4e-04,88.7,3.470700,3.470700,3.392716,3.392716,-0.0780,9.282728e+00,9.282728e+00,,100.00,34.14,100.00,31.65
102,2.666610,1.314156,0.5671,0.8189,0.6972,0.7531,1.3525,3.110065,1.223577,0.5947,0.6741,0.6610,0.6675,1.8865,0.4435,5.3e-04,88.7,3.469971,3.469971,3.415741,3.415741,-0.0542,1.071935e+01,1.071935e+01,,100.00,34.57,100.00,30.28
103,2.645068,1.305321,0.5692,0.8227,0.6861,0.7482,1.3397,2.926953,1.219637,0.5953,0.5673,0.7610,0.6500,1.7073,0.2819,5.2e-04,88.5,3.430640,3.430640,3.317513,3.317513,-0.1131,9.498041e+00,9.498041e+00,,100.00,33.81,100.00,31.07
104,2.638981,1.303490,0.5691,0.8233,0.6906,0.7511,1.3355,3.325884,1.230896,0.5932,0.5996,0.7268,0.6571,2.0950,0.6869,5.1e-04,88.6,3.393471,3.393471,3.357972,3.357972,-0.0355,9.427771e+00,9.427771e+00,,100.00,34.28,100.00,30.00
105,2.652179,1.312221,0.5669,0.8232,0.6849,0.7477,1.3400,2.772643,1.227282,0.5939,0.6224,0.7195,0.6674,1.5454,0.1205,5.1e-04,88.7,3.392658,3.392658,3.289433,3.289433,-0.1032,8.877626e+00,8.877626e+00,,100.00,34.86,100.00,33.06
106,2.684545,1.321937,0.5646,0.8222,0.6940,0.7527,1.3626,2.872432,1.234556,0.5910,0.6618,0.6634,0.6626,1.6379,0.1879,5.0e-04,88.8,3.412363,3.412363,3.343108,3.343108,-0.0693,9.285436e+00,9.285436e+00,,100.00,35.08,100.00,33.33
107,2.647070,1.316688,0.5664,0.8209,0.6878,0.7485,1.3304,2.960823,1.249756,0.5878,0.6212,0.7000,0.6583,1.7111,0.3138,4.9e-04,88.9,3.369746,3.369746,3.278632,3.278632,-0.0911,7.933448e+00,7.933448e+00,,100.00,35.01,100.00,32.72
108,2.696377,1.342124,0.5606,0.8234,0.6970,0.7550,1.3543,2.917799,1.290015,0.5765,0.6635,0.6829,0.6731,1.6278,0.2214,4.8e-04,88.8,3.381348,3.381348,3.267676,3.267676,-0.1137,9.580790e+00,9.580790e+00,,100.00,35.45,100.00,34.71
109,2.686064,1.343694,0.5598,0.8170,0.6833,0.7442,1.3424,2.961699,1.250933,0.5865,0.6322,0.7000,0.6644,1.7108,0.2756,4.8e-04,88.9,3.361035,3.361035,3.253006,3.253006,-0.1080,9.331091e+00,9.331091e+00,,100.00,36.30,100.00,32.83
110,2.661097,1.328363,0.5627,0.8218,0.6905,0.7504,1.3327,3.098113,1.246980,0.5881,0.5617,0.7659,0.6481,1.8511,0.4370,4.7e-04,88.6,3.340427,3.340427,3.218391,3.218391,-0.1220,8.150292e+00,8.150292e+00,,100.00,35.69,100.00,31.61
111,2.682555,1.337640,0.5600,0.8246,0.6959,0.7548,1.3449,2.861384,1.280252,0.5815,0.5852,0.7537,0.6588,1.5811,0.1788,4.6e-04,88.8,3.331634,3.331634,3.262371,3.262371,-0.0693,8.924466e+00,8.924466e+00,,100.00,35.93,100.00,36.04
112,2.692177,1.335610,0.5614,0.8220,0.6934,0.7522,1.3566,2.976747,1.257490,0.5839,0.5857,0.7415,0.6545,1.7193,0.2846,4.5e-04,88.8,3.337632,3.337632,3.224157,3.224157,-0.1135,8.817215e+00,8.817215e+00,,100.00,36.11,100.00,32.59
113,2.685601,1.341752,0.5593,0.8201,0.6930,0.7512,1.3438,3.071381,1.297370,0.5782,0.5736,0.7512,0.6505,1.7740,0.3858,4.5e-04,88.8,3.316774,3.316774,3.198855,3.198855,-0.1179,8.274872e+00,8.274872e+00,,100.00,36.14,100.00,35.60
114,2.704534,1.357444,0.5566,0.8245,0.6984,0.7562,1.3471,3.186020,1.295647,0.5767,0.5469,0.7683,0.6389,1.8904,0.4815,4.4e-04,88.7,3.324795,3.324795,3.204523,3.204523,-0.1203,8.723202e+00,8.723202e+00,,100.00,37.07,100.00,34.32
115,2.674265,1.333470,0.5614,0.8274,0.7006,0.7587,1.3408,3.063897,1.260762,0.5839,0.5821,0.7780,0.6660,1.8031,0.3896,4.3e-04,87.8,3.289634,3.289634,3.190401,3.190401,-0.0992,8.253244e+00,8.253244e+00,,100.00,36.66,100.00,34.50
116,2.630295,1.302159,0.5691,0.8290,0.7014,0.7599,1.3281,2.915529,1.219741,0.5938,0.6306,0.7244,0.6742,1.6958,0.2852,4.2e-04,88.8,3.268654,3.268654,3.176199,3.176199,-0.0925,8.519038e+00,8.519038e+00,,100.00,35.65,100.00,31.64
117,2.633212,1.307987,0.5673,0.8299,0.7000,0.7594,1.3252,2.788172,1.240740,0.5886,0.6055,0.7488,0.6696,1.5474,0.1550,4.2e-04,88.7,3.250947,3.250947,3.128068,3.128068,-0.1229,8.120228e+00,8.120228e+00,,100.00,35.75,100.00,34.00
118,2.637636,1.314818,0.5656,0.8305,0.7032,0.7616,1.3228,2.955697,1.252279,0.5853,0.6445,0.7341,0.6864,1.7034,0.3181,4.1e-04,88.6,3.236907,3.236907,3.111011,3.111011,-0.1259,7.410276e+00,7.410276e+00,,100.00,36.22,100.00,34.09
119,2.634219,1.313577,0.5654,0.8356,0.7055,0.7651,1.3206,3.057667,1.219189,0.5951,0.5972,0.7415,0.6616,1.8385,0.4234,4.0e-04,89.1,3.220754,3.220754,3.153209,3.153209,-0.0675,7.489729e+00,7.489729e+00,,100.00,36.08,100.00,32.00
120,2.622429,1.307466,0.5661,0.8220,0.7002,0.7562,1.3150,2.950329,1.252671,0.5848,0.5918,0.7390,0.6573,1.6977,0.3279,3.9e-04,87.6,3.222336,3.222336,3.085013,3.085013,-0.1373,7.447341e+00,7.447341e+00,,100.00,35.69,100.00,34.39
121,2.639890,1.326438,0.5618,0.8304,0.6984,0.7587,1.3135,3.002420,1.277877,0.5793,0.6069,0.7341,0.6645,1.7245,0.3625,3.9e-04,88.5,3.210300,3.210300,3.129124,3.129124,-0.0812,8.252345e+00,8.252345e+00,,100.00,36.48,100.00,34.38
122,2.650836,1.332108,0.5604,0.8262,0.7015,0.7588,1.3187,2.866702,1.265630,0.5814,0.6636,0.7024,0.6825,1.6011,0.2159,3.8e-04,88.8,3.220179,3.220179,3.115904,3.115904,-0.1043,8.485319e+00,8.485319e+00,,100.00,36.23,100.00,35.20
123,2.635615,1.325028,0.5621,0.8289,0.7016,0.7600,1.3106,3.049192,1.260417,0.5830,0.6427,0.7195,0.6789,1.7888,0.4136,3.7e-04,88.8,3.201304,3.201304,3.142694,3.142694,-0.0586,7.834957e+00,7.834957e+00,,100.00,36.69,100.00,33.50
124,2.615637,1.313356,0.5647,0.8283,0.7055,0.7620,1.3023,2.927960,1.234398,0.5896,0.6049,0.7244,0.6593,1.6936,0.3123,3.6e-04,88.7,3.188513,3.188513,3.087447,3.087447,-0.1011,8.132299e+00,8.132299e+00,,100.00,36.14,100.00,33.01
125,2.602535,1.310123,0.5652,0.8292,0.7051,0.7621,1.2924,3.032531,1.244962,0.5864,0.6488,0.7073,0.6768,1.7876,0.4300,3.6e-04,88.7,3.177488,3.177488,3.051914,3.051914,-0.1256,7.041499e+00,7.041499e+00,,100.00,36.32,100.00,33.80
126,2.613098,1.319788,0.5629,0.8263,0.7032,0.7598,1.2933,2.866778,1.259888,0.5816,0.6459,0.7073,0.6752,1.6069,0.2537,3.5e-04,89.5,3.161879,3.161879,3.034417,3.034417,-0.1275,7.256616e+00,7.256616e+00,,100.00,36.61,100.00,35.28
127,2.591022,1.311946,0.5640,0.8383,0.7107,0.7693,1.2791,2.935880,1.261008,0.5823,0.6471,0.6976,0.6714,1.6749,0.3449,3.4e-04,87.7,3.143679,3.143679,3.037423,3.037423,-0.1063,6.876944e+00,6.876944e+00,,100.00,36.08,100.00,34.65
128,2.581260,1.305653,0.5653,0.8374,0.7134,0.7704,1.2756,3.215985,1.235925,0.5898,0.6432,0.7122,0.6759,1.9801,0.6347,3.4e-04,88.6,3.139475,3.139475,3.110706,3.110706,-0.0288,6.655888e+00,6.655888e+00,,100.00,35.70,100.00,32.48
129,2.598451,1.315565,0.5625,0.8353,0.7175,0.7719,1.2829,3.007639,1.250771,0.5847,0.6277,0.7195,0.6705,1.7569,0.4092,3.3e-04,88.5,3.145853,3.145853,3.029950,3.029950,-0.1159,7.938475e+00,7.938475e+00,,100.00,35.88,100.00,33.63
130,2.594869,1.315162,0.5630,0.8340,0.7078,0.7657,1.2797,3.102416,1.251483,0.5858,0.6140,0.7293,0.6667,1.8509,0.5075,3.2e-04,88.8,3.129600,3.129600,3.046408,3.046408,-0.0832,7.618280e+00,7.618280e+00,,100.00,35.84,100.00,33.41
131,2.604267,1.320306,0.5617,0.8302,0.7161,0.7689,1.2840,2.888607,1.260580,0.5824,0.6543,0.6878,0.6706,1.6280,0.2843,3.1e-04,88.5,3.129443,3.129443,3.041015,3.041015,-0.0884,7.228167e+00,7.228167e+00,,100.00,35.92,100.00,33.29
132,2.625201,1.332325,0.5588,0.8280,0.7075,0.7630,1.2929,3.066419,1.290200,0.5749,0.5961,0.7488,0.6638,1.7762,0.4412,3.1e-04,88.6,3.118360,3.118360,3.047941,3.047941,-0.0704,7.343221e+00,7.343221e+00,,100.00,36.09,100.00,34.29
133,2.626470,1.329681,0.5591,0.8345,0.7136,0.7694,1.2968,2.987121,1.254739,0.5833,0.6052,0.7439,0.6674,1.7324,0.3607,3.0e-04,88.9,3.118025,3.118025,3.005950,3.005950,-0.1121,7.452623e+00,7.452623e+00,,100.00,35.93,100.00,33.06
134,2.598255,1.320072,0.5623,0.8374,0.7146,0.7711,1.2782,3.091841,1.267738,0.5818,0.5938,0.7488,0.6624,1.8241,0.4936,2.9e-04,88.9,3.104488,3.104488,3.038008,3.038008,-0.0665,6.646211e+00,6.646211e+00,,100.00,35.96,100.00,34.13
135,2.595462,1.321718,0.5614,0.8350,0.7174,0.7717,1.2737,3.102062,1.245907,0.5880,0.6016,0.7366,0.6623,1.8562,0.5066,2.9e-04,88.6,3.084463,3.084463,2.998666,2.998666,-0.0858,6.983430e+00,6.983430e+00,,100.00,36.29,100.00,33.20
136,2.581470,1.314573,0.5629,0.8325,0.7132,0.7682,1.2669,2.958869,1.259122,0.5813,0.6887,0.6854,0.6870,1.6997,0.3774,2.8e-04,88.5,3.079696,3.079696,2.966093,2.966093,-0.1136,6.824394e+00,6.824394e+00,,100.00,35.69,100.00,33.19
137,2.596320,1.321703,0.5613,0.8313,0.7151,0.7688,1.2746,2.938805,1.261489,0.5807,0.6430,0.7293,0.6834,1.6773,0.3425,2.7e-04,88.2,3.078543,3.078543,2.954655,2.954655,-0.1239,6.936500e+00,6.936500e+00,,100.00,35.78,100.00,33.87
138,2.591836,1.315753,0.5622,0.8301,0.7134,0.7673,1.2761,2.975314,1.275532,0.5786,0.5911,0.7756,0.6709,1.6998,0.3835,2.7e-04,88.1,3.074944,3.074944,2.983255,2.983255,-0.0917,7.151761e+00,7.151761e+00,,100.00,35.44,100.00,35.71
139,2.593618,1.320640,0.5611,0.8355,0.7101,0.7677,1.2730,2.878100,1.290524,0.5745,0.6558,0.7341,0.6928,1.5876,0.2845,2.6e-04,88.3,3.061701,3.061701,2.950264,2.950264,-0.1114,6.649842e+00,6.649842e+00,,100.00,36.07,100.00,36.70
140,2.629745,1.348293,0.5559,0.8373,0.7116,0.7693,1.2815,3.118006,1.289613,0.5765,0.6202,0.7488,0.6785,1.8284,0.4883,2.6e-04,88.5,3.065985,3.065985,3.024141,3.024141,-0.0418,7.152096e+00,7.152096e+00,,100.00,38.17,100.00,35.10
141,2.617944,1.343843,0.5566,0.8385,0.7256,0.7780,1.2741,2.833792,1.293643,0.5741,0.6644,0.7146,0.6886,1.5401,0.2158,2.5e-04,88.4,3.065391,3.065391,2.951327,2.951327,-0.1141,6.932569e+00,6.932569e+00,,100.00,38.15,100.00,36.40
142,2.612854,1.340529,0.5568,0.8348,0.7251,0.7761,1.2723,2.948713,1.282678,0.5787,0.6125,0.7634,0.6797,1.6660,0.3359,2.4e-04,88.4,3.060741,3.060741,2.983055,2.983055,-0.0777,7.240109e+00,7.240109e+00,,100.00,37.68,100.00,36.08
143,2.602661,1.336103,0.5582,0.8363,0.7192,0.7733,1.2666,2.777702,1.282134,0.5769,0.5957,0.7512,0.6645,1.4956,0.1750,2.4e-04,88.5,3.055185,3.055185,2.933808,2.933808,-0.1214,6.833959e+00,6.833959e+00,,100.00,37.78,100.00,36.82
144,2.600424,1.331479,0.5588,0.8338,0.7201,0.7728,1.2689,2.914961,1.299872,0.5723,0.6608,0.7268,0.6922,1.6151,0.3145,2.3e-04,88.4,3.040966,3.040966,2.958602,2.958602,-0.0824,6.727878e+00,6.727878e+00,,100.00,37.74,100.00,38.44
145,2.600977,1.333355,0.5583,0.8347,0.7180,0.7720,1.2676,3.022241,1.289920,0.5770,0.5936,0.7659,0.6688,1.7323,0.4213,2.2e-04,88.5,3.044881,3.044881,2.969604,2.969604,-0.0753,7.485952e+00,7.485952e+00,,100.00,37.89,100.00,37.38
146,2.585830,1.325307,0.5601,0.8385,0.7230,0.7765,1.2605,2.904419,1.284625,0.5760,0.6784,0.7049,0.6914,1.6198,0.3186,2.2e-04,88.6,3.030051,3.030051,2.953690,2.953690,-0.0764,6.544736e+00,6.544736e+00,,100.00,37.78,100.00,36.68
147,2.582233,1.324307,0.5604,0.8386,0.7198,0.7747,1.2579,2.839280,1.284635,0.5758,0.6077,0.7707,0.6796,1.5546,0.2570,2.1e-04,88.2,3.036078,3.036078,2.921163,2.921163,-0.1149,6.706066e+00,6.706066e+00,,100.00,37.66,100.00,36.86
148,2.588748,1.326815,0.5596,0.8343,0.7192,0.7725,1.2619,2.732830,1.285364,0.5748,0.6224,0.7317,0.6726,1.4475,0.1441,2.1e-04,88.4,3.036364,3.036364,2.885173,2.885173,-0.1512,6.103341e+00,6.103341e+00,,100.00,37.40,100.00,37.98
149,2.582416,1.322731,0.5606,0.8379,0.7204,0.7747,1.2597,3.071666,1.282941,0.5776,0.6123,0.7512,0.6747,1.7887,0.4892,2.0e-04,88.2,3.005848,3.005848,2.955074,2.955074,-0.0508,6.513086e+00,6.513086e+00,,100.00,37.20,100.00,36.79
150,2.577037,1.322208,0.5608,0.8403,0.7257,0.7788,1.2548,2.893391,1.277337,0.5772,0.6270,0.7585,0.6865,1.6161,0.3164,2.0e-04,88.5,3.005915,3.005915,2.904271,2.904271,-0.1016,6.329825e+00,6.329825e+00,,100.00,37.23,100.00,36.95
151,2.578639,1.326832,0.5593,0.8392,0.7276,0.7794,1.2518,2.930163,1.271082,0.5786,0.6651,0.7122,0.6879,1.6591,0.3515,1.9e-04,88.6,3.007581,3.007581,2.905440,2.905440,-0.1021,6.078826e+00,6.078826e+00,,100.00,37.71,100.00,36.39
152,2.571145,1.321383,0.5606,0.8376,0.7206,0.7747,1.2498,3.072228,1.278942,0.5787,0.6263,0.7439,0.6800,1.7933,0.5011,1.9e-04,88.5,3.001213,3.001213,2.925540,2.925540,-0.0757,5.917693e+00,5.917693e+00,,100.00,37.22,100.00,37.18
153,2.577318,1.324842,0.5599,0.8363,0.7252,0.7768,1.2525,2.999048,1.291477,0.5740,0.6317,0.7488,0.6853,1.7076,0.4217,1.8e-04,88.7,2.994872,2.994872,2.932645,2.932645,-0.0622,6.482453e+00,6.482453e+00,,100.00,37.37,100.00,35.89
154,2.576233,1.324944,0.5597,0.8349,0.7237,0.7754,1.2513,2.925995,1.279824,0.5769,0.6600,0.7244,0.6907,1.6462,0.3498,1.7e-04,88.7,2.993831,2.993831,2.914260,2.914260,-0.0796,6.037585e+00,6.037585e+00,,100.00,37.27,100.00,36.70
155,2.571498,1.326200,0.5590,0.8370,0.7213,0.7749,1.2453,2.885223,1.275018,0.5776,0.6198,0.7317,0.6711,1.6102,0.3137,1.7e-04,88.5,2.997377,2.997377,2.899056,2.899056,-0.0983,6.035824e+00,6.035824e+00,,100.00,37.42,100.00,36.38
156,2.560282,1.322673,0.5597,0.8377,0.7234,0.7764,1.2376,2.934405,1.278409,0.5767,0.6095,0.7537,0.6739,1.6560,0.3741,1.6e-04,88.5,2.986056,2.986056,2.900639,2.900639,-0.0854,5.801228e+00,5.801228e+00,,100.00,37.28,100.00,36.34
157,2.567870,1.327554,0.5585,0.8387,0.7197,0.7746,1.2403,2.799965,1.284807,0.5749,0.6222,0.7512,0.6807,1.5152,0.2321,1.6e-04,88.5,2.987016,2.987016,2.913208,2.913208,-0.0738,6.328328e+00,6.328328e+00,,100.00,37.65,100.00,38.02
158,2.580129,1.333663,0.5573,0.8389,0.7167,0.7730,1.2465,3.163962,1.288144,0.5772,0.6464,0.7268,0.6843,1.8758,0.5838,1.5e-04,88.5,2.984496,2.984496,2.969935,2.969935,-0.0146,5.976962e+00,5.976962e+00,,100.00,37.83,100.00,36.01
159,2.575506,1.334885,0.5566,0.8425,0.7252,0.7795,1.2406,2.829258,1.291557,0.5718,0.5916,0.7561,0.6638,1.5377,0.2538,1.5e-04,88.4,2.964886,2.964886,2.880971,2.880971,-0.0839,6.026787e+00,6.026787e+00,,100.00,37.90,100.00,37.40
160,2.586036,1.339985,0.5559,0.8386,0.7210,0.7754,1.2461,2.987889,1.309814,0.5690,0.6016,0.7439,0.6652,1.6781,0.4019,1.5e-04,88.5,2.963201,2.963201,2.906842,2.906842,-0.0564,6.156014e+00,6.156014e+00,,100.00,38.09,100.00,38.06
161,2.587782,1.344741,0.5554,0.8409,0.7266,0.7796,1.2430,2.995350,1.301989,0.5708,0.6250,0.7561,0.6843,1.6934,0.4076,1.4e-04,88.4,2.969414,2.969414,2.912915,2.912915,-0.0565,5.857808e+00,5.857808e+00,,100.00,38.62,100.00,37.80
162,2.572754,1.333626,0.5577,0.8432,0.7325,0.7840,1.2391,2.816721,1.295975,0.5714,0.6172,0.7512,0.6777,1.5207,0.2440,1.4e-04,88.6,2.964680,2.964680,2.870623,2.870623,-0.0941,5.612748e+00,5.612748e+00,,100.00,38.43,100.00,37.70
163,2.575170,1.333408,0.5579,0.8441,0.7267,0.7810,1.2418,2.831420,1.285854,0.5745,0.6419,0.7390,0.6871,1.5456,0.2563,1.3e-04,88.5,2.963546,2.963546,2.856833,2.856833,-0.1067,5.808914e+00,5.808914e+00,,100.00,38.37,100.00,38.08
164,2.572473,1.329745,0.5588,0.8411,0.7263,0.7795,1.2427,3.031364,1.319236,0.5687,0.5924,0.7585,0.6652,1.7121,0.4589,1.3e-04,88.5,2.949388,2.949388,2.910945,2.910945,-0.0384,5.867861e+00,5.867861e+00,,100.00,38.58,100.00,39.98
165,2.582655,1.343795,0.5554,0.8397,0.7257,0.7785,1.2389,2.770185,1.301365,0.5706,0.6286,0.7512,0.6844,1.4688,0.1875,1.2e-04,88.5,2.951523,2.951523,2.847960,2.847960,-0.1036,5.746338e+00,5.746338e+00,,100.00,39.76,100.00,39.88
166,2.574484,1.336940,0.5570,0.8379,0.7247,0.7772,1.2375,2.904571,1.312129,0.5690,0.6615,0.7341,0.6960,1.5924,0.3301,1.2e-04,87.7,2.949835,2.949835,2.872268,2.872268,-0.0776,5.540826e+00,5.540826e+00,,100.00,39.18,100.00,39.20
167,2.568520,1.332899,0.5578,0.8375,0.7224,0.7757,1.2356,2.888367,1.295660,0.5731,0.5940,0.7780,0.6737,1.5927,0.3198,1.2e-04,88.6,2.945928,2.945928,2.879236,2.879236,-0.0667,5.203187e+00,5.203187e+00,,100.00,38.91,100.00,38.20
168,2.558553,1.326291,0.5591,0.8427,0.7243,0.7790,1.2323,2.951899,1.295613,0.5727,0.6227,0.7488,0.6800,1.6563,0.3933,1.1e-04,88.4,2.938725,2.938725,2.895739,2.895739,-0.0430,5.576829e+00,5.576829e+00,,100.00,38.41,100.00,37.67
169,2.550935,1.322554,0.5601,0.8397,0.7251,0.7782,1.2284,2.887335,1.288721,0.5745,0.6462,0.7439,0.6916,1.5986,0.3364,1.1e-04,88.1,2.940924,2.940924,2.856191,2.856191,-0.0847,5.350545e+00,5.350545e+00,,100.00,37.98,100.00,37.59
170,2.549209,1.322444,0.5603,0.8424,0.7242,0.7789,1.2268,2.925608,1.301310,0.5717,0.6280,0.7537,0.6851,1.6243,0.3764,1.0e-04,89.3,2.936012,2.936012,2.878509,2.878509,-0.0575,5.492449e+00,5.492449e+00,,100.00,37.88,100.00,38.82
171,2.551601,1.327807,0.5584,0.8414,0.7264,0.7796,1.2238,3.048772,1.309431,0.5697,0.6581,0.7512,0.7016,1.7393,0.4972,1.0e-04,87.7,2.921446,2.921446,2.897656,2.897656,-0.0238,5.279943e+00,5.279943e+00,,100.00,38.10,100.00,37.95
172,2.557108,1.329781,0.5580,0.8396,0.7240,0.7775,1.2273,2.996433,1.306621,0.5711,0.6058,0.7610,0.6746,1.6898,0.4393,9.8e-05,88.8,2.926922,2.926922,2.865130,2.865130,-0.0618,5.392011e+00,5.392011e+00,,100.00,38.20,100.00,38.52
173,2.555560,1.329946,0.5579,0.8411,0.7262,0.7794,1.2256,2.889296,1.305051,0.5697,0.6245,0.7707,0.6900,1.5842,0.3337,9.4e-05,88.6,2.934294,2.934294,2.849295,2.849295,-0.0850,5.342647e+00,5.342647e+00,,100.00,38.53,100.00,38.21
174,2.554165,1.330326,0.5575,0.8395,0.7274,0.7794,1.2238,2.892804,1.309046,0.5692,0.5900,0.7756,0.6702,1.5838,0.3386,9.1e-05,88.8,2.921555,2.921555,2.866935,2.866935,-0.0546,5.280709e+00,5.280709e+00,,100.00,38.58,100.00,38.89
175,2.556753,1.330024,0.5576,0.8467,0.7335,0.7861,1.2267,2.943097,1.304623,0.5705,0.6090,0.7561,0.6746,1.6385,0.3863,8.8e-05,88.5,2.922515,2.922515,2.853099,2.853099,-0.0694,5.264415e+00,5.264415e+00,,100.00,38.64,100.00,38.91
176,2.563874,1.337306,0.5562,0.8396,0.7312,0.7817,1.2266,3.111709,1.320072,0.5680,0.6494,0.7317,0.6881,1.7916,0.5478,8.5e-05,88.8,2.920717,2.920717,2.877984,2.877984,-0.0427,5.139851e+00,5.139851e+00,,100.00,39.01,100.00,39.38
177,2.580409,1.348299,0.5537,0.8393,0.7299,0.7808,1.2321,2.898066,1.321562,0.5665,0.6139,0.7561,0.6776,1.5765,0.3177,8.2e-05,88.7,2.923917,2.923917,2.831977,2.831977,-0.0919,5.255537e+00,5.255537e+00,,100.00,39.68,100.00,40.64
178,2.585095,1.352468,0.5528,0.8431,0.7294,0.7821,1.2326,3.032117,1.319849,0.5673,0.6212,0.7439,0.6770,1.7123,0.4470,8.0e-05,88.6,2.931946,2.931946,2.864642,2.864642,-0.0673,5.387489e+00,5.387489e+00,,100.00,40.09,100.00,39.82
179,2.579111,1.348787,0.5535,0.8374,0.7284,0.7791,1.2303,2.973957,1.332846,0.5642,0.6415,0.7463,0.6900,1.6411,0.3948,7.7e-05,88.7,2.933836,2.933836,2.852496,2.852496,-0.0813,5.250436e+00,5.250436e+00,,100.00,39.91,100.00,41.25
180,2.582662,1.350820,0.5531,0.8416,0.7243,0.7785,1.2318,3.211482,1.345252,0.5621,0.5835,0.7585,0.6596,1.8662,0.6288,7.4e-05,88.6,2.931535,2.931535,2.934520,2.934520,0.0030,5.254861e+00,5.254861e+00,,100.00,40.07,100.00,39.18
181,2.586663,1.354736,0.5519,0.8410,0.7316,0.7825,1.2319,3.123851,1.346790,0.5621,0.6608,0.7268,0.6922,1.7771,0.5372,7.2e-05,88.7,2.922297,2.922297,2.868347,2.868347,-0.0539,4.999716e+00,4.999716e+00,,100.00,40.08,100.00,40.32
182,2.593588,1.355961,0.5516,0.8418,0.7306,0.7823,1.2376,2.978515,1.344486,0.5613,0.6375,0.7463,0.6876,1.6340,0.3849,7.0e-05,88.7,2.924023,2.924023,2.845045,2.845045,-0.0790,5.701079e+00,5.701079e+00,,100.00,40.09,100.00,41.28
183,2.607919,1.362942,0.5507,0.8417,0.7290,0.7813,1.2450,2.904735,1.344385,0.5609,0.6015,0.7585,0.6710,1.5604,0.2968,6.8e-05,88.3,2.929150,2.929150,2.831296,2.831296,-0.0979,5.737320e+00,5.737320e+00,,100.00,40.47,100.00,41.60
184,2.600503,1.359475,0.5512,0.8444,0.7301,0.7831,1.2410,3.130303,1.333800,0.5640,0.6201,0.7366,0.6734,1.7965,0.5298,6.6e-05,88.6,2.919899,2.919899,2.864571,2.864571,-0.0553,5.244867e+00,5.244867e+00,,100.00,40.22,100.00,39.21
